datetime,Consumption (kWh),homeid
2017-06-15,3.0642666666666667,70
2017-06-16,6.995964444444445,70
2017-06-17,4.602043611111111,70
2017-06-18,4.226915833333333,70
2017-06-19,4.0300947222222225,70
2017-06-20,5.477195555555555,70
2017-06-21,6.353318333333333,70
2017-06-22,3.4485741666666665,70
2017-06-23,7.567890277777778,70
2017-06-24,6.612080555555556,70
2017-06-25,5.2430275,70
2017-06-26,7.027316666666667,70
2017-06-27,8.01181,70
2017-06-30,8.348446944444444,70
2017-07-01,5.424918055555556,70
2017-07-06,5.925761944444444,70
2017-07-07,7.502450277777778,70
2017-07-08,7.155378611111111,70
2017-07-09,3.8304977777777776,70
2017-07-10,8.754028333333334,70
2017-07-11,1.859406388888889,70
2017-07-12,1.8880783333333333,70
2017-07-13,1.8873325,70
2017-07-14,2.0877141666666668,70
2017-07-17,1.8716752777777779,70
2017-07-18,1.9036852777777777,70
2017-07-19,1.9716302777777779,70
2017-07-20,1.9505680555555556,70
2017-07-21,1.9128983333333334,70
2017-07-22,1.9452269444444446,70
2017-07-23,1.9129022222222223,70
2017-07-24,1.8559375,70
2017-07-25,1.8970536111111111,70
2017-07-26,1.8997530555555555,70
2017-07-27,4.992265,70
2017-07-28,9.117529166666667,70
2017-07-29,7.3844022222222225,70
2017-07-30,3.5212572222222223,70
2017-07-31,5.545023888888889,70
2017-08-01,6.9689875,70
2017-08-02,6.833328611111111,70
2017-08-06,6.938013611111111,70
2017-08-07,5.284814166666667,70
2017-08-08,2.1159655555555554,70
2017-08-09,2.120222222222222,70
2017-08-10,5.957105277777778,70
2017-08-11,3.8859411111111113,70
2017-08-12,7.1088466666666665,70
2017-08-13,3.8108469444444446,70
2017-08-14,7.711487222222222,70
2017-08-15,4.126953888888889,70
2017-08-16,6.607179444444444,70
2017-08-17,3.8742597222222224,70
2017-08-18,6.529861666666666,70
2017-08-19,4.2230702777777775,70
2017-08-20,5.7934525,70
2017-08-21,5.6805575,70
2017-08-22,6.3069822222222225,70
2017-08-23,6.7888858333333335,70
2017-08-24,5.102125555555555,70
2017-08-25,4.569608888888889,70
2017-08-26,3.6355455555555554,70
2017-08-27,4.427390833333333,70
2017-08-28,4.836418055555556,70
2017-08-29,5.0806925,70
2017-08-30,6.701009166666666,70
2017-08-31,10.03925861111111,70
2017-09-01,4.209884166666667,70
2017-09-02,7.049791944444444,70
2017-09-03,4.716170277777778,70
2017-09-04,6.700236944444445,70
2017-09-05,6.606686666666667,70
2017-09-06,5.469460555555556,70
2017-09-07,7.170602777777778,70
2017-09-08,4.622175,70
2017-09-09,7.946000833333334,70
2017-09-10,4.021497777777777,70
2017-09-11,6.829579166666667,70
2017-09-12,3.689442222222222,70
2017-09-13,10.039472777777778,70
2017-09-14,4.823714722222222,70
2017-09-15,8.55576138888889,70
2017-09-16,2.7813855555555556,70
2017-09-17,3.2342608333333334,70
2017-09-18,3.2853280555555555,70
2017-09-19,3.7390708333333333,70
2017-09-20,2.5579352777777777,70
2017-09-21,2.6387633333333333,70
2017-09-22,3.628020277777778,70
2017-09-23,5.817056111111111,70
2017-09-24,8.379049722222222,70
2017-09-25,6.478431944444444,70
2017-09-26,8.741974722222222,70
2017-09-29,6.7798375,70
2017-09-30,6.209420833333334,70
2017-10-01,6.837866944444444,70
2017-10-02,8.581315555555555,70
2017-10-03,6.561286111111111,70
2017-10-04,10.060476666666666,70
2017-10-05,6.913900277777778,70
2017-10-06,8.868228055555555,70
2017-10-07,9.156010277777778,70
2017-10-08,7.444099722222222,70
2017-10-11,11.245486944444444,70
2017-10-12,10.130365833333334,70
2017-10-13,8.011576111111111,70
2017-10-14,6.661889166666667,70
2017-10-15,6.1308475,70
2017-10-16,11.075306388888889,70
2017-10-17,8.194450555555555,70
2017-10-18,10.425551944444445,70
2017-10-19,6.690072777777778,70
2017-10-20,6.49576,70
2017-10-21,5.928242222222222,70
2017-10-22,4.4015525,70
2017-10-23,9.885618611111111,70
2017-10-24,11.207017777777779,70
2017-10-25,6.676094722222222,70
2017-10-26,6.424974722222222,70
2017-10-27,8.33326138888889,70
2017-10-28,10.497670555555555,70
2017-10-29,7.816489722222222,70
2017-10-30,10.704115833333333,70
2017-10-31,11.996951388888888,70
2017-11-01,11.809040555555555,70
2017-11-02,8.048387777777778,70
2017-11-03,8.736429722222223,70
2017-11-04,8.8311925,70
2017-11-05,9.512186111111111,70
2017-11-06,14.126386111111112,70
2017-11-07,12.588590277777778,70
2017-11-10,11.486570555555556,70
2017-11-11,9.909784166666666,70
2017-11-12,11.621685277777777,70
2017-11-13,16.19521027777778,70
2017-11-14,15.164931666666666,70
2017-11-15,15.700554722222222,70
2017-11-16,9.727209722222222,70
2017-11-17,13.458835,70
2017-11-18,13.1517375,70
2017-11-19,12.051262222222222,70
2017-11-20,14.337512777777778,70
2017-11-21,13.807609444444445,70
2017-11-22,16.915648333333333,70
2017-11-23,11.100205,70
2017-11-24,17.934480555555556,70
2017-11-25,18.581749722222224,70
2017-11-26,20.566049444444445,70
2017-11-27,23.484526666666667,70
2017-11-28,16.51560138888889,70
2017-11-29,16.23856333333333,70
2017-11-30,15.219090833333333,70
2017-12-01,14.96574,70
2017-12-02,13.817276111111111,70
2017-12-03,12.209548611111112,70
2017-12-04,18.05182611111111,70
2017-12-05,14.252393611111112,70
2017-12-06,13.690953888888888,70
2017-12-07,12.564845833333333,70
2017-12-08,11.643464444444444,70
2017-12-09,12.0463025,70
2017-12-10,14.098022222222223,70
2017-12-11,17.032721666666667,70
2017-12-12,16.344055,70
