datetime,Consumption (kWh),homeid
2018-02-21,3.7252502777777776,299
2018-02-22,3.6921552777777777,299
2018-02-23,3.922361944444445,299
2018-02-24,4.658931666666667,299
2018-02-27,3.894230833333333,299
2018-02-28,5.168275,299
2018-03-01,3.777243055555556,299
2018-03-02,5.060427777777778,299
2018-03-03,6.080244444444444,299
2018-03-04,4.404241388888889,299
2018-03-05,3.484052222222222,299
2018-03-06,3.382290555555556,299
2018-03-07,4.493698888888889,299
2018-03-08,3.505540277777777,299
2018-03-11,1.7482763888888888,299
2018-03-12,3.965668055555556,299
2018-03-13,4.452396388888888,299
2018-03-14,7.178449722222222,299
2018-03-15,3.392683055555556,299
2018-03-16,4.920568611111111,299
2018-03-17,4.863478055555556,299
2018-03-18,4.158410555555555,299
2018-03-19,4.491098888888889,299
2018-03-20,3.847871944444445,299
2018-03-21,3.3003194444444444,299
2018-03-24,2.802274722222222,299
2018-03-25,2.831111111111111,299
2018-03-26,2.950693888888889,299
2018-03-27,3.3287944444444446,299
2018-03-28,3.4011958333333334,299
2018-03-29,3.846698333333333,299
2018-03-30,5.187686944444445,299
2018-03-31,1.8349277777777775,299
2018-04-01,7.085726388888889,299
2018-04-02,3.599211111111111,299
2018-04-03,3.9337311111111113,299
2018-04-04,3.923253055555556,299
2018-04-05,4.467081944444445,299
2018-04-06,6.208156111111111,299
2018-04-07,3.6903341666666662,299
2018-04-08,3.648168611111111,299
2018-04-09,4.784193055555556,299
2018-04-10,5.083000277777778,299
2018-04-11,6.106172222222222,299
2018-04-12,3.662751111111111,299
2018-04-13,1.7240163888888889,299
2018-04-14,4.088368333333333,299
2018-04-15,2.8881705555555555,299
2018-04-16,3.753559166666667,299
2018-04-17,3.768506111111111,299
2018-04-18,3.7326647222222222,299
2018-04-19,4.306718888888889,299
2018-04-20,5.767522777777778,299
2018-04-23,2.7319394444444445,299
2018-04-24,1.6877383333333331,299
2018-04-25,3.2268363888888887,299
2018-04-26,1.792836388888889,299
2018-04-27,2.0354944444444443,299
2018-04-28,3.4186408333333334,299
2018-05-01,1.4573383333333334,299
2018-05-02,1.4701472222222225,299
2018-05-03,1.3110066666666669,299
2018-05-04,2.0416511111111117,299
2018-05-05,3.2875638888888887,299
2018-05-06,3.9275913888888887,299
2018-05-07,4.6042958333333335,299
2018-05-08,3.258639722222222,299
2018-05-12,3.991456388888889,299
2018-05-13,6.120604444444444,299
2018-05-14,2.4554911111111117,299
2018-05-15,2.49612,299
2018-05-16,2.183186666666667,299
2018-05-17,3.0443275,299
2018-05-18,2.9522619444444445,299
2018-05-19,3.508683055555556,299
2018-05-20,6.943672777777778,299
2018-05-21,4.6806141666666665,299
2018-05-22,2.7853616666666667,299
2018-05-23,3.116535277777778,299
2018-05-24,3.4351919444444445,299
2018-05-25,2.415907222222222,299
2018-05-26,3.0831897222222224,299
2018-05-27,2.981071111111111,299
2018-05-28,2.762673888888889,299
2018-05-29,4.39179,299
2018-05-30,3.718179444444445,299
2018-06-02,4.268621666666666,299
2018-06-03,5.077905277777778,299
2018-06-04,3.211681111111111,299
2018-06-07,2.1950922222222222,299
2018-06-08,4.243395,299
2018-06-09,4.096436944444444,299
2018-06-10,2.7264416666666667,299
2018-06-11,4.275071944444444,299
2018-06-12,5.414936388888889,299
2018-06-13,2.6158977777777777,299
2018-06-14,3.364273333333333,299
2018-06-15,7.26473,299
2018-06-16,3.843835555555556,299
2018-06-17,3.234130555555556,299
2018-06-19,3.0765161111111112,299
2018-06-20,4.718835,299
2018-06-21,1.9978147222222224,299
2018-06-22,1.5019391666666666,299
2018-06-23,1.534676666666667,299
2018-06-24,1.5245388888888889,299
2018-06-25,2.5450775,299
2018-06-26,5.384334722222222,299
2018-06-27,3.664886666666667,299
2018-06-28,2.1823836111111112,299
2018-06-29,5.362196944444444,299
2018-06-30,3.4343880555555555,299
2017-12-08,13.4116375,266
2017-12-09,4.151332222222222,266
2017-12-10,5.6060275,266
2017-12-11,14.323718333333334,266
2017-12-12,18.96986,266
2017-12-13,12.30466277777778,266
2017-12-14,10.934699722222222,266
2017-12-15,7.9561425,266
2017-12-16,17.368628055555554,266
2017-12-17,16.28543888888889,266
2017-12-18,12.053198055555557,266
2017-12-19,15.333204722222222,266
2017-12-23,3.4379644444444444,266
2017-12-24,3.7710875,266
2017-12-29,5.004296666666667,266
2017-12-30,10.534748888888888,266
2017-12-31,0.8354052777777777,266
2018-01-01,5.587086666666667,266
2018-01-02,19.155921666666668,266
2018-01-03,18.368147222222223,266
2018-01-06,15.44569861111111,266
2018-01-07,11.376512222222225,266
2018-01-08,7.7119775,266
2018-01-09,7.848219722222222,266
2018-01-10,5.297076388888889,266
2018-01-11,8.80851111111111,266
2018-01-12,8.487298888888889,266
2018-01-13,10.148430833333334,266
2018-01-14,12.173308888888888,266
2018-01-25,4.737886666666666,266
2018-01-29,8.581600833333333,266
2018-01-30,9.51799,266
2018-01-31,7.673638611111111,266
2018-02-01,8.477505555555556,266
2018-02-02,9.129480555555556,266
2018-02-03,3.558893611111111,266
2018-02-04,13.076525,266
2018-02-05,8.391142222222221,266
2018-02-06,5.019485555555556,266
2018-02-07,10.9555375,266
2018-02-10,14.371639722222222,266
2018-02-13,11.304125833333334,266
2018-02-14,11.069340833333332,266
2018-02-15,11.871054444444445,266
2018-02-16,17.062429444444444,266
2018-02-17,11.904703055555556,266
2018-02-18,15.903032222222222,266
2018-02-19,10.81285638888889,266
2018-02-20,7.608132222222222,266
2018-02-21,5.270646111111111,266
2018-02-22,5.078331666666666,266
