datetime,mean_h,min_h,max_h,homeid
2017-10-18,567.4233603537215,435.0,724.0,223
2017-10-19,610.5831809872029,485.0,704.0,223
2017-10-20,610.2624791382187,492.0,674.0,223
2017-10-21,541.7934535535687,448.0,687.0,223
2017-10-22,585.4087759815243,510.0,643.0,223
2017-10-23,616.5149637243047,521.0,697.0,223
2017-10-24,630.9400181763102,573.0,715.0,223
2017-10-25,620.1985553206483,564.0,737.0,223
2017-10-26,607.1522008131518,533.0,736.0,223
2017-10-27,578.2882923870185,510.0,687.0,223
2017-10-28,592.6653459311185,499.0,781.0,223
2017-10-29,486.051466096518,345.0,612.0,223
2017-10-30,504.03899637243046,385.0,639.0,223
2017-10-31,586.0556735436893,528.0,662.0,223
2017-11-01,598.1319655521784,573.0,699.0,223
2017-11-02,570.5160898603522,508.0,614.0,223
2017-11-03,539.8926940639269,455.0,614.0,223
2017-11-04,498.68783555760086,360.0,630.0,223
2017-11-05,510.2273834907097,373.0,726.0,223
2017-11-06,520.8798903942761,403.0,665.0,223
2017-11-07,584.5320174777761,518.0,682.0,223
2017-11-08,524.1614512471656,429.0,684.0,223
2017-11-09,573.1972985278494,503.0,680.0,223
2017-11-10,486.44016319129645,398.0,549.0,223
2017-11-11,434.2964248001207,353.0,511.0,223
2017-11-12,369.15206460460155,291.0,491.0,223
2017-11-13,385.7128017109685,290.0,471.0,223
2017-11-14,501.99300486618006,419.0,633.0,223
2017-11-15,513.5556061295706,419.0,728.0,223
2017-11-16,498.77897779129904,441.0,605.0,223
2017-11-17,482.5053078556263,389.0,606.0,223
2017-11-18,461.5577596266044,391.0,601.0,223
2017-11-19,455.9385911179173,369.0,679.0,223
2017-11-20,501.94167048404336,455.0,602.0,223
2017-11-21,564.205891284543,443.0,721.0,223
2017-11-22,563.3791838606144,518.0,657.0,223
2017-11-23,491.26721511273615,420.0,549.0,223
2017-11-24,438.0953624078624,368.0,537.0,223
2017-11-25,423.71646245680176,356.0,573.0,223
2017-11-26,446.40717917116007,380.0,566.0,223
2017-11-27,457.39783964704094,418.0,641.0,223
2017-11-28,465.9004869141814,382.0,670.0,223
2017-11-29,422.67288444040037,372.0,481.0,223
2017-11-30,379.92278461772304,339.0,428.0,223
2017-12-01,391.38461538461536,343.0,548.0,223
2017-12-02,511.14687547514063,415.0,637.0,223
2017-12-03,562.4376243685903,483.0,804.0,223
2017-12-04,477.3533060977455,433.0,558.0,223
