datetime,mean_h,min_h,max_h,homeid
2017-06-28,521.1319172722191,470.0,694.0,135
2017-06-29,557.3067729083665,514.0,607.0,135
2017-06-30,601.12710475339,559.0,667.0,135
2017-07-01,627.5293499474553,583.0,743.0,135
2017-07-02,609.4453819496761,579.0,655.0,135
2017-07-03,581.1744818462442,484.0,686.0,135
2017-07-04,567.9246635459333,540.0,604.0,135
2017-07-05,587.5158519444011,566.0,628.0,135
2017-07-06,648.4734393757503,607.0,716.0,135
2017-07-07,666.9497023809524,630.0,761.0,135
2017-07-08,593.8811065332549,547.0,649.0,135
2017-07-09,617.1517018327429,569.0,726.0,135
2017-07-10,602.087432491607,572.0,648.0,135
2017-07-11,583.6520005905802,554.0,620.0,135
2017-07-12,596.6404226819467,571.0,693.0,135
2017-07-13,606.5778267254038,588.0,663.0,135
2017-07-14,585.6292168227077,553.0,639.0,135
2017-07-15,627.6493199290361,580.0,678.0,135
2017-07-16,611.0230642504118,560.0,697.0,135
2017-07-17,587.0554336697381,567.0,633.0,135
2017-07-18,602.0032310177706,586.0,638.0,135
2017-07-19,631.5676514032497,621.0,655.0,135
2017-07-20,585.3775058962265,521.0,654.0,135
2017-07-21,587.6989548064183,556.0,658.0,135
2017-07-22,626.5318284424379,590.0,674.0,135
2017-07-23,659.1430709368452,623.0,739.0,135
2017-07-24,629.8778784727381,597.0,666.0,135
2017-07-25,630.1972313188448,613.0,653.0,135
2017-07-26,637.5358518518518,607.0,696.0,135
2017-07-27,630.6685320705984,606.0,663.0,135
2017-07-28,632.074331164136,616.0,657.0,135
2017-07-29,625.3865448745831,602.0,647.0,135
2017-07-30,629.1092681507348,613.0,673.0,135
2017-07-31,618.6772417789367,603.0,645.0,135
2017-08-01,616.1503258508327,598.0,658.0,135
2017-08-02,626.2832890463537,594.0,662.0,135
2017-08-03,635.9588303753274,614.0,662.0,135
2017-08-04,632.6229098296609,619.0,693.0,135
2017-08-05,598.2586805555555,554.0,635.0,135
2017-08-06,627.5854367446841,580.0,699.0,135
2017-08-07,626.7341753119831,588.0,699.0,135
2017-08-08,572.4334674415139,501.0,613.0,135
2017-08-09,564.9440853750187,521.0,596.0,135
2017-08-10,558.9077760497668,533.0,579.0,135
2017-08-11,596.2996963743526,561.0,628.0,135
2017-08-12,620.1308440055546,590.0,688.0,135
2017-08-13,604.5025039123631,583.0,635.0,135
2017-08-14,610.104592901879,581.0,697.0,135
2017-08-15,611.7393020685299,580.0,643.0,135
2017-08-16,605.0599030979298,589.0,634.0,135
2017-08-17,619.084076818388,604.0,656.0,135
2017-08-18,597.7693702604682,568.0,617.0,135
2017-08-19,582.7036890905504,569.0,637.0,135
2017-08-20,613.4241119483315,589.0,656.0,135
2017-08-21,628.6124497991968,583.0,675.0,135
2017-08-22,665.2580393381205,632.0,691.0,135
2017-08-23,683.9591335074513,661.0,753.0,135
2017-08-24,644.6668233082706,603.0,673.0,135
2017-08-25,644.7909174032308,624.0,697.0,135
2017-08-26,652.0546802594995,633.0,692.0,135
2017-08-27,665.3525590239265,630.0,716.0,135
2017-08-28,703.5226682949168,657.0,784.0,135
2017-08-29,638.1306499505114,538.0,756.0,135
2017-08-30,611.38859457775,548.0,674.0,135
2017-08-31,574.9604322816804,518.0,622.0,135
2017-09-01,599.5158188585608,554.0,644.0,135
2017-09-02,617.4612947034857,589.0,666.0,135
2017-09-03,609.9530780780781,488.0,641.0,135
2017-09-04,649.014276337381,614.0,693.0,135
2017-09-05,627.0197266231748,567.0,655.0,135
2017-09-06,634.2201008095311,595.0,668.0,135
2017-09-07,643.3387019614097,619.0,679.0,135
2017-09-08,651.3596946564885,631.0,672.0,135
2017-09-09,637.3778346121057,590.0,660.0,135
2017-09-10,607.1128244274809,591.0,629.0,135
2017-09-11,600.0993134280696,576.0,635.0,135
2017-09-12,587.3077279752705,574.0,609.0,135
2017-09-13,589.3594607305221,572.0,631.0,135
2017-09-14,554.2535122336227,485.0,605.0,135
2017-09-15,547.7127790472842,522.0,576.0,135
2017-09-16,568.5644544822794,549.0,608.0,135
2017-09-17,577.0575818980075,549.0,620.0,135
2017-09-18,584.4536116093266,556.0,620.0,135
2017-09-19,559.8167038571884,533.0,585.0,135
2017-09-20,583.5743086529884,556.0,613.0,135
2017-09-21,609.2220042504496,588.0,650.0,135
2017-09-22,603.8547439126784,582.0,642.0,135
2017-09-23,625.3607003891051,604.0,683.0,135
2017-09-24,608.0279652844745,586.0,636.0,135
2017-09-25,636.1391352549889,618.0,664.0,135
2017-09-26,647.8743636065035,633.0,671.0,135
2017-09-27,669.2446542092082,656.0,696.0,135
2017-09-28,656.6292898940377,635.0,684.0,135
2017-09-29,612.0119923249121,576.0,640.0,135
2017-09-30,581.2255784061697,563.0,596.0,135
2017-10-01,595.5221122112212,578.0,621.0,135
2017-10-02,583.2988324392553,560.0,616.0,135
2017-10-03,566.1088988919668,527.0,598.0,135
2017-10-04,614.0661491731354,580.0,666.0,135
2017-10-05,584.3552400981423,543.0,623.0,135
2017-10-06,555.730444479847,538.0,575.0,135
2017-10-07,582.9051790379591,561.0,608.0,135
2017-10-08,595.3738822078323,584.0,624.0,135
2017-10-09,608.324075569191,593.0,651.0,135
2017-10-10,630.2389038332212,607.0,651.0,135
2017-10-11,627.8688127379717,611.0,651.0,135
2017-10-12,624.6747620610437,604.0,650.0,135
2017-10-13,659.6178660049628,626.0,701.0,135
2017-10-14,660.6828877861374,642.0,700.0,135
2017-10-15,658.2092640058587,642.0,691.0,135
2017-10-16,642.1577246283128,628.0,658.0,135
2017-10-17,620.1059295861643,602.0,648.0,135
2017-10-18,607.4285171824569,587.0,629.0,135
2017-10-19,631.5593779453346,612.0,663.0,135
2017-10-20,647.1284403669724,631.0,678.0,135
2017-10-21,642.9262458471761,623.0,686.0,135
2017-10-22,642.8434525763046,600.0,675.0,135
2017-10-23,639.5171471927163,625.0,665.0,135
2017-10-24,623.5030459945173,609.0,647.0,135
2017-10-25,602.0237620170506,559.0,637.0,135
2017-10-26,581.936199965041,530.0,606.0,135
2017-10-27,578.4252109894056,509.0,599.0,135
2017-10-28,613.8094047805031,579.0,637.0,135
2017-10-29,577.8589017002149,485.0,627.0,135
2017-10-30,560.5079867151669,541.0,593.0,135
2017-10-31,608.7393727113517,571.0,652.0,135
2017-11-01,643.832831563936,624.0,681.0,135
2017-11-02,616.0115034350536,569.0,648.0,135
2017-11-03,609.8950916004148,579.0,697.0,135
2017-11-04,601.924633524538,540.0,656.0,135
2017-11-05,537.4157227387997,478.0,583.0,135
2017-11-06,494.43263495947394,463.0,559.0,135
2017-11-07,564.8874308300395,546.0,591.0,135
2017-11-08,541.0087551735116,526.0,583.0,135
2017-11-09,516.8497630331753,456.0,562.0,135
2017-11-10,499.7090799578377,465.0,534.0,135
2017-11-11,469.82338191506034,454.0,504.0,135
2017-11-12,451.2616091954023,415.0,498.0,135
