datetime,mean_h,min_h,max_h,homeid
2017-09-20,711.7838610378188,701.0,857.0,195
2017-09-21,701.8051075268817,658.0,716.0,195
2017-09-22,708.3589969203696,657.0,824.0,195
2017-09-23,688.8401119952844,626.0,722.0,195
2017-09-24,710.6687257577934,691.0,739.0,195
2017-09-25,744.9733851244425,732.0,759.0,195
2017-09-26,736.5997986770204,710.0,787.0,195
2017-09-27,730.9720408742548,708.0,775.0,195
2017-09-28,777.9133970609216,742.0,832.0,195
2017-09-29,742.3572259377726,695.0,765.0,195
2017-09-30,680.4666956900305,567.0,744.0,195
2017-10-01,678.3068935679262,630.0,743.0,195
2017-10-02,649.3111883051092,635.0,660.0,195
2017-10-03,653.2795880942305,624.0,685.0,195
2017-10-04,661.9391716997411,590.0,743.0,195
2017-10-05,684.0388753406971,662.0,715.0,195
2017-10-06,671.1575391691821,606.0,804.0,195
2017-10-07,673.5188045188045,623.0,715.0,195
2017-10-08,690.8451358580882,648.0,754.0,195
2017-10-09,675.0970765141977,632.0,702.0,195
2017-10-10,664.447360953462,618.0,680.0,195
2017-10-11,677.6635897435898,650.0,703.0,195
2017-10-12,671.2201497809806,660.0,704.0,195
2017-10-13,739.0931965139163,692.0,795.0,195
2017-10-14,700.4956325725557,621.0,741.0,195
2017-10-15,741.1688522174746,714.0,776.0,195
2017-10-16,731.7490882567469,671.0,809.0,195
2017-10-17,724.6300116211505,682.0,773.0,195
2017-10-18,701.468134414832,647.0,769.0,195
2017-10-19,741.5000707714083,688.0,771.0,195
2017-10-20,715.439455591413,694.0,746.0,195
2017-10-21,733.1098094565984,697.0,753.0,195
2017-10-22,704.513680875576,643.0,757.0,195
2017-10-23,653.6616331916141,623.0,687.0,195
2017-10-24,656.5276972157773,628.0,695.0,195
2017-10-25,624.649183006536,560.0,665.0,195
2017-10-26,661.6400472733412,641.0,670.0,195
2017-10-27,634.0605278255881,537.0,714.0,195
2017-10-28,620.5657044377424,542.0,667.0,195
2017-10-29,626.1072974182957,465.0,736.0,195
2017-10-30,575.2844667143879,513.0,615.0,195
2017-10-31,595.9707450860886,536.0,692.0,195
2017-11-01,624.8409514257057,596.0,658.0,195
2017-11-02,635.6526838069464,565.0,709.0,195
2017-11-03,608.2397140355996,547.0,641.0,195
2017-11-04,600.4627798778715,529.0,626.0,195
2017-11-05,559.194887261238,509.0,588.0,195
2017-11-06,579.8863499699338,543.0,619.0,195
2017-11-07,583.6898507462687,533.0,621.0,195
2017-11-08,661.0006570302234,621.0,745.0,195
2017-11-09,608.3985431841832,574.0,658.0,195
2017-11-10,556.9228127799344,488.0,613.0,195
2017-11-11,555.7839444995045,523.0,630.0,195
2017-11-12,587.0761443034364,509.0,657.0,195
2017-11-13,510.3554976097349,449.0,555.0,195
2017-11-14,524.4840613931523,478.0,567.0,195
2017-11-15,534.800145137881,487.0,563.0,195
2017-11-16,520.8367198838897,440.0,570.0,195
2017-11-17,495.65134209023415,432.0,612.0,195
2017-11-18,544.3982920341593,424.0,614.0,195
2017-11-19,466.6037957675512,405.0,504.0,195
2017-11-20,488.3160224254942,432.0,518.0,195
2017-11-21,518.2139561707036,457.0,570.0,195
2017-11-22,528.8363090987002,488.0,553.0,195
2017-11-23,495.88986547085204,435.0,538.0,195
2017-11-24,462.5438999856301,390.0,499.0,195
2017-11-25,495.3869829168431,445.0,529.0,195
2017-11-26,536.7689541073227,442.0,594.0,195
2017-11-27,508.19612403100774,475.0,527.0,195
2017-11-28,492.6064268448742,456.0,526.0,195
2017-11-29,450.66397296503084,345.0,502.0,195
2017-11-30,410.71916346564234,343.0,453.0,195
2017-12-01,398.0552564465854,353.0,431.0,195
2017-12-02,408.92185430463576,374.0,438.0,195
2017-12-03,,,,195
2017-12-04,,,,195
2017-12-05,,,,195
2017-12-06,,,,195
2017-12-07,,,,195
2017-12-08,,,,195
2017-12-09,,,,195
2017-12-10,,,,195
2017-12-11,,,,195
2017-12-12,,,,195
2017-12-13,,,,195
2017-12-14,,,,195
2017-12-15,,,,195
2017-12-16,,,,195
2017-12-17,,,,195
2017-12-18,,,,195
2017-12-19,,,,195
2017-12-20,,,,195
2017-12-21,,,,195
2017-12-22,,,,195
2017-12-23,,,,195
2017-12-24,,,,195
2017-12-25,,,,195
2017-12-26,,,,195
2017-12-27,,,,195
2017-12-28,,,,195
2017-12-29,,,,195
2017-12-30,,,,195
2017-12-31,,,,195
2018-01-01,,,,195
2018-01-02,,,,195
2018-01-03,,,,195
2018-01-04,,,,195
2018-01-05,,,,195
2018-01-06,,,,195
2018-01-07,,,,195
2018-01-08,,,,195
2018-01-09,,,,195
2018-01-10,,,,195
2018-01-11,,,,195
2018-01-12,,,,195
2018-01-13,,,,195
2018-01-14,,,,195
2018-01-15,,,,195
2018-01-16,,,,195
2018-01-17,,,,195
2018-01-18,,,,195
2018-01-19,,,,195
2018-01-20,,,,195
2018-01-21,,,,195
2018-01-22,,,,195
2018-01-23,,,,195
2018-01-24,491.6910521713786,414.0,549.0,195
2018-01-25,439.8759966428871,385.0,475.0,195
2018-01-26,405.47083884236815,343.0,449.0,195
2018-01-27,446.1906857352402,390.0,497.0,195
2018-01-28,553.8096833130329,468.0,617.0,195
2018-01-29,477.45091756481213,379.0,546.0,195
2018-01-30,418.2484454085322,355.0,458.0,195
2018-01-31,405.2516064543767,355.0,465.0,195
2018-02-01,395.06606875934233,368.0,431.0,195
2018-02-02,420.0268386714116,381.0,503.0,195
2018-02-03,496.70064148253743,408.0,555.0,195
2018-02-04,486.7938609252255,422.0,523.0,195
2018-02-05,457.97089144936325,419.0,483.0,195
2018-02-06,431.653125,380.0,477.0,195
2018-02-07,418.817680510081,348.0,492.0,195
2018-02-08,410.28373804267846,378.0,448.0,195
2018-02-09,420.7069774259748,384.0,464.0,195
2018-02-10,510.521399609551,424.0,580.0,195
2018-02-11,477.8051166290444,425.0,507.0,195
2018-02-12,443.608025343189,358.0,533.0,195
2018-02-13,429.16156670746636,400.0,453.0,195
2018-02-14,430.2395393474088,373.0,470.0,195
2018-02-15,402.0585209003215,359.0,429.0,195
2018-02-16,406.6792488982564,358.0,447.0,195
2018-02-17,470.1990143158883,421.0,481.0,195
2018-02-18,452.0613193839,386.0,635.0,195
2018-02-19,485.4072411729503,421.0,750.0,195
2018-02-20,471.318820861678,431.0,523.0,195
2018-02-21,458.6877968201528,404.0,539.0,195
2018-02-22,489.5635699611961,476.0,506.0,195
2018-02-23,470.7147102526003,423.0,501.0,195
2018-02-24,442.07951843044,361.0,471.0,195
2018-02-25,465.18611189204387,392.0,559.0,195
2018-02-26,445.76451983898795,392.0,494.0,195
2018-02-27,411.39143865842897,355.0,453.0,195
2018-02-28,373.18139253889143,292.0,415.0,195
2018-03-01,363.69367088607595,300.0,405.0,195
2018-03-02,378.0147775971627,328.0,423.0,195
2018-03-03,380.40655162328164,330.0,466.0,195
2018-03-04,440.20838645700525,377.0,506.0,195
2018-03-05,447.5449705799944,396.0,494.0,195
2018-03-06,424.89305735230704,362.0,473.0,195
2018-03-07,462.5102191943128,362.0,677.0,195
2018-03-08,443.7706297910717,361.0,495.0,195
2018-03-09,433.6348262404758,379.0,515.0,195
2018-03-10,385.05946655006557,361.0,410.0,195
2018-03-11,439.77242112725986,408.0,529.0,195
2018-03-12,492.5379908935686,470.0,512.0,195
2018-03-13,475.0677594028977,436.0,500.0,195
2018-03-14,475.87000705716304,436.0,578.0,195
2018-03-15,477.4158758849224,415.0,519.0,195
2018-03-16,452.75638740344624,385.0,514.0,195
2018-03-17,441.6001652892562,390.0,501.0,195
2018-03-18,447.7670713201821,410.0,578.0,195
2018-03-19,449.11078355314197,380.0,530.0,195
2018-03-20,465.3101972175508,419.0,515.0,195
2018-03-21,474.127425614489,415.0,610.0,195
2018-03-22,496.0943457189015,440.0,658.0,195
2018-03-23,519.5531062124248,504.0,600.0,195
2018-03-24,469.74112122101553,407.0,507.0,195
2018-03-25,460.0648330058939,457.0,463.0,195
2018-03-26,,,,195
2018-03-27,,,,195
2018-03-28,,,,195
2018-03-29,,,,195
2018-03-30,,,,195
2018-03-31,,,,195
2018-04-01,,,,195
2018-04-02,,,,195
2018-04-03,,,,195
2018-04-04,,,,195
2018-04-05,,,,195
2018-04-06,,,,195
2018-04-07,,,,195
2018-04-08,,,,195
2018-04-09,,,,195
2018-04-10,,,,195
2018-04-11,,,,195
2018-04-12,,,,195
2018-04-13,,,,195
2018-04-14,,,,195
2018-04-15,,,,195
2018-04-16,,,,195
2018-04-17,,,,195
2018-04-18,,,,195
2018-04-19,,,,195
2018-04-20,538.1268695203713,488.0,621.0,195
2018-04-21,560.5318637840893,543.0,581.0,195
2018-04-22,565.6716609589041,547.0,596.0,195
2018-04-23,567.6467925706258,515.0,624.0,195
2018-04-24,,,,195
2018-04-25,,,,195
2018-04-26,,,,195
2018-04-27,,,,195
2018-04-28,,,,195
2018-04-29,,,,195
2018-04-30,,,,195
2018-05-01,469.245621529261,423.0,568.0,195
2018-05-02,508.840653242429,422.0,563.0,195
2018-05-03,536.1194909993793,465.0,557.0,195
2018-05-04,555.8362448731581,474.0,594.0,195
2018-05-05,582.1235186873291,561.0,614.0,195
2018-05-06,576.4646379261764,520.0,606.0,195
2018-05-07,567.70054829186,465.0,651.0,195
2018-05-08,594.6219512195122,553.0,661.0,195
2018-05-09,631.1570670708602,588.0,736.0,195
2018-05-10,,,,195
2018-05-11,569.6204778156997,535.0,590.0,195
2018-05-12,576.8745218056619,445.0,612.0,195
2018-05-13,566.1945424169296,437.0,654.0,195
2018-05-14,556.8355754857997,518.0,588.0,195
2018-05-15,578.9341544291805,548.0,692.0,195
2018-05-16,566.0401420410684,484.0,654.0,195
2018-05-17,532.4643537933664,383.0,586.0,195
2018-05-18,550.7625,488.0,614.0,195
2018-05-19,508.78320673373025,439.0,568.0,195
2018-05-20,530.053220208253,504.0,625.0,195
2018-05-21,582.5755478662053,564.0,637.0,195
2018-05-22,566.0586375395228,527.0,586.0,195
2018-05-23,566.9329089128306,541.0,621.0,195
2018-05-24,594.8377967133292,519.0,626.0,195
2018-05-25,591.933628318584,574.0,600.0,195
2018-05-26,,,,195
2018-05-27,,,,195
2018-05-28,,,,195
2018-05-29,,,,195
2018-05-30,,,,195
2018-05-31,,,,195
2018-06-01,,,,195
2018-06-02,,,,195
2018-06-03,,,,195
2018-06-04,,,,195
2018-06-05,,,,195
2018-06-06,,,,195
2018-06-07,,,,195
2018-06-08,,,,195
2018-06-09,,,,195
2018-06-10,,,,195
2018-06-11,,,,195
2018-06-12,629.9052631578948,607.0,660.0,195
2018-06-13,648.2840628853268,607.0,709.0,195
2018-06-14,624.0647387446598,560.0,663.0,195
2018-06-15,613.6663886572144,599.0,633.0,195
2018-06-16,631.0486098324434,606.0,675.0,195
2018-06-17,656.5042901084669,632.0,722.0,195
2018-06-18,,,,195
2018-06-19,633.5489869553151,575.0,666.0,195
2018-06-20,653.6969874232232,601.0,702.0,195
2018-06-21,563.6054628224583,496.0,612.0,195
2018-06-22,585.4171393530584,555.0,648.0,195
2018-06-23,602.8879310344828,589.0,666.0,195
2018-06-24,569.5727794663965,430.0,645.0,195
2018-06-25,541.2092603728202,515.0,563.0,195
2018-06-26,578.9936883629191,556.0,635.0,195
2018-06-27,615.815460758897,564.0,674.0,195
2018-06-28,575.3414795244386,501.0,626.0,195
2018-06-29,565.4615384615385,523.0,587.0,195
2018-06-30,573.446137273007,508.0,627.0,195
