datetime,mean_t,min_t,max_t,homeid
2017-09-28,205.75404814004375,197.0,218.0,199
2017-09-29,202.49500098019996,191.0,223.0,199
2017-09-30,202.43991457969327,190.0,223.0,199
2017-10-01,196.1734519977277,189.0,206.0,199
2017-10-02,198.27727364387982,195.0,207.0,199
2017-10-03,199.97499515409964,194.0,209.0,199
2017-10-04,195.82539410555174,191.0,199.0,199
2017-10-05,199.56227514133974,190.0,214.0,199
2017-10-06,196.78370034986622,191.0,211.0,199
2017-10-07,194.78576932956588,190.0,204.0,199
2017-10-08,183.23920966813736,177.0,191.0,199
2017-10-09,186.84458851071494,184.0,197.0,199
2017-10-10,185.92973276023173,184.0,190.0,199
2017-10-11,186.45492321589882,184.0,199.0,199
2017-10-12,186.90609496810774,184.0,194.0,199
2017-10-13,188.65810202550637,185.0,200.0,199
2017-10-14,185.75704085680286,181.0,187.0,199
2017-10-15,186.53034395822078,181.0,200.0,199
2017-10-16,185.0237166484631,181.0,189.0,199
2017-10-17,186.71718432963945,179.0,192.0,199
2017-10-18,186.4804862444018,179.0,192.0,199
2017-10-19,188.05914312325365,181.0,193.0,199
2017-10-20,187.4936689073003,178.0,195.0,199
2017-10-21,181.08741868951293,176.0,185.0,199
2017-10-22,176.83510466988727,171.0,182.0,199
2017-10-23,180.39880672005023,175.0,186.0,199
2017-10-24,185.04231096006797,180.0,192.0,199
2017-10-25,187.7313694888802,176.0,203.0,199
2017-10-26,183.84766269477544,175.0,190.0,199
2017-10-27,186.258059516429,180.0,201.0,199
2017-10-28,185.5068687825675,178.0,192.0,199
2017-10-29,190.7836386607707,182.0,204.0,199
2017-10-30,188.323254709514,184.0,194.0,199
2017-10-31,188.23970321017566,184.0,193.0,199
2017-11-01,184.08203306040477,176.0,188.0,199
2017-11-02,183.7108822625269,174.0,205.0,199
2017-11-03,167.26153371393303,156.0,182.0,199
2017-11-04,165.58555133079847,158.0,178.0,199
2017-11-05,184.2128347183749,160.0,210.0,199
2017-11-06,178.67528963656562,170.0,186.0,199
2017-11-07,174.582851930678,164.0,181.0,199
2017-11-08,173.33685847589425,163.0,181.0,199
2017-11-09,176.7696783578471,172.0,182.0,199
2017-11-10,177.84053884711778,172.0,186.0,199
2017-11-11,168.43627045792692,156.0,183.0,199
2017-11-12,178.90633744855967,171.0,190.0,199
2017-11-13,174.6717956852792,169.0,183.0,199
2017-11-14,171.1071821467861,162.0,176.0,199
2017-11-15,164.70159418046742,157.0,171.0,199
2017-11-16,169.01763971276927,148.0,187.0,199
2017-11-17,170.17450398375254,153.0,180.0,199
2017-11-18,166.30672620708904,150.0,186.0,199
2017-11-19,180.41164383561645,146.0,194.0,199
2017-11-20,176.8507071765322,145.0,188.0,199
2017-11-21,171.33723196881093,167.0,188.0,199
2017-11-22,174.2083879423329,167.0,188.0,199
2017-11-23,174.7783227072094,162.0,188.0,199
2017-11-24,177.58561754272816,165.0,187.0,199
2017-11-25,168.35574112734864,147.0,177.0,199
2017-11-26,172.33276668083298,144.0,190.0,199
2017-11-27,176.84294024325754,154.0,187.0,199
2017-11-28,179.73921568627452,152.0,192.0,199
2017-11-29,186.40625,169.0,191.0,199
2017-11-30,165.62608695652173,145.0,190.0,199
2017-12-01,181.9134571816946,162.0,190.0,199
2017-12-02,175.42125418860698,155.0,185.0,199
2017-12-03,176.54172116139156,160.0,186.0,199
2017-12-04,174.72422283779625,161.0,193.0,199
2017-12-05,169.60228082679973,158.0,189.0,199
