datetime,mean_t,min_t,max_t,homeid
2017-02-02,168.48577740955537,156.0,189.0,86
2017-02-03,165.31704885343967,151.0,199.0,86
2017-02-04,161.34957386363635,146.0,190.0,86
2017-02-05,158.81120815138283,138.0,188.0,86
2017-02-06,158.95683555052364,130.0,196.0,86
2017-02-07,158.8842208795841,141.0,190.0,86
2017-02-08,157.69250833212578,139.0,184.0,86
2017-02-09,156.53538792331125,135.0,185.0,86
2017-02-10,168.51258186832126,154.0,185.0,86
2017-02-11,157.0397735520395,132.0,186.0,86
2017-02-12,157.72563176895306,134.0,188.0,86
2017-02-13,160.66895270752966,137.0,204.0,86
2017-02-14,166.93333333333334,144.0,195.0,86
2017-02-15,167.21236133122028,150.0,202.0,86
2017-02-16,161.53915618060697,148.0,188.0,86
2017-02-17,160.24076281287248,144.0,184.0,86
2017-02-18,163.04623766750112,146.0,194.0,86
2017-02-19,162.3253310053834,141.0,192.0,86
2017-02-20,162.95074584857866,147.0,186.0,86
2017-02-21,156.8257341006345,145.0,177.0,86
2017-02-22,159.2840484377336,125.0,187.0,86
2017-02-23,161.27524666279746,145.0,182.0,86
2017-02-24,149.6677796327212,130.0,163.0,86
2017-02-25,151.14562469216878,126.0,173.0,86
2017-02-26,156.13037634408602,127.0,185.0,86
2017-02-27,159.7146491096813,138.0,190.0,86
2017-02-28,163.8952194828623,128.0,200.0,86
2017-03-01,163.3337982333798,136.0,188.0,86
2017-03-02,154.139455297305,130.0,180.0,86
2017-03-03,158.5210473021843,134.0,187.0,86
2017-03-04,161.98359901900673,143.0,194.0,86
2017-03-05,165.76685680854175,145.0,194.0,86
2017-03-06,166.8819524913094,143.0,197.0,86
2017-03-07,158.5656737150795,135.0,184.0,86
2017-03-08,161.50253655625187,144.0,188.0,86
2017-03-09,162.80849207503272,145.0,190.0,86
2017-03-10,163.56843201428146,148.0,186.0,86
2017-03-11,166.2840550616576,156.0,189.0,86
2017-03-12,166.2387665198238,144.0,188.0,86
2017-03-13,165.71836303231652,148.0,191.0,86
2017-03-14,173.52844403444035,150.0,204.0,86
2017-03-15,165.40592462237865,150.0,187.0,86
2017-03-16,162.18153655514251,140.0,184.0,86
2017-03-17,157.30268143398425,138.0,184.0,86
2017-03-18,164.09895983819706,147.0,185.0,86
2017-03-19,162.91654545454546,155.0,186.0,86
2017-03-20,182.312118902439,164.0,199.0,86
2017-03-21,161.55420827389443,134.0,193.0,86
2017-03-22,159.38380229269018,134.0,186.0,86
2017-03-23,161.22420031842523,139.0,187.0,86
2017-03-24,162.4102453102453,140.0,191.0,86
2017-03-25,175.00833698990786,145.0,211.0,86
2017-03-26,184.58297677261615,158.0,217.0,86
2017-03-27,178.56026392961877,157.0,203.0,86
2017-03-28,173.91556768227983,161.0,192.0,86
2017-03-29,166.55905998763143,158.0,184.0,86
2017-03-30,168.47747082286895,151.0,195.0,86
2017-03-31,180.06774101540216,164.0,205.0,86
2017-04-01,172.90023101357204,156.0,200.0,86
2017-04-02,176.57027600849256,152.0,214.0,86
2017-04-03,166.6515593121539,139.0,207.0,86
2017-04-04,169.54364240410752,158.0,195.0,86
2017-04-05,167.78370326232684,145.0,208.0,86
2017-04-06,166.02824620573355,143.0,190.0,86
2017-04-07,167.45187481547092,155.0,201.0,86
2017-04-08,176.40089569488586,150.0,215.0,86
2017-04-09,171.34340581756567,155.0,184.0,86
2017-04-10,165.8172012081116,150.0,200.0,86
2017-04-11,162.35266390515642,146.0,187.0,86
2017-04-12,169.36280791684464,151.0,195.0,86
2017-04-13,163.28399934221346,145.0,199.0,86
2017-04-14,165.37187108886107,146.0,197.0,86
2017-04-15,162.18029197080293,136.0,196.0,86
2017-04-16,163.52762389579277,146.0,194.0,86
2017-04-17,169.46589090909092,153.0,202.0,86
2017-04-18,164.11388110340758,136.0,200.0,86
2017-04-19,171.35369339551679,147.0,212.0,86
2017-04-20,174.30500457735735,161.0,200.0,86
2017-04-21,176.969185619956,162.0,212.0,86
2017-04-22,173.73904208998547,153.0,203.0,86
2017-04-23,175.77213822894169,154.0,219.0,86
2017-04-24,173.015699956389,155.0,212.0,86
2017-04-25,165.77072152653548,148.0,198.0,86
2017-04-26,163.15189873417722,141.0,197.0,86
2017-04-27,168.6617417246768,148.0,196.0,86
2017-04-28,171.7594816687737,155.0,192.0,86
2017-04-29,169.5947793660659,151.0,207.0,86
2017-04-30,174.7322705601907,157.0,193.0,86
2017-05-01,177.23865210032312,166.0,189.0,86
2017-05-02,178.25457648153895,168.0,200.0,86
2017-05-03,184.23803363518758,166.0,215.0,86
2017-05-04,187.3168808411215,172.0,211.0,86
2017-05-05,180.54275741710296,158.0,212.0,86
2017-05-06,185.92950466618808,164.0,208.0,86
2017-05-07,187.69734026291653,174.0,207.0,86
2017-05-08,179.66535246806498,159.0,200.0,86
2017-05-09,186.76685680854175,168.0,213.0,86
2017-05-10,176.9228662711091,162.0,193.0,86
2017-05-11,177.8525212636695,161.0,202.0,86
2017-05-12,178.7313043478261,168.0,195.0,86
2017-05-13,174.45317577548005,162.0,194.0,86
2017-05-14,179.1851691864651,157.0,200.0,86
2017-05-15,175.30321489001693,161.0,191.0,86
2017-05-16,185.79286775631502,175.0,202.0,86
2017-05-17,181.00519798195995,166.0,196.0,86
2017-05-18,185.10534546488483,173.0,200.0,86
2017-05-19,182.0014907573047,173.0,195.0,86
2017-05-20,176.3137372525495,163.0,196.0,86
2017-05-21,171.7637241985068,154.0,196.0,86
2017-05-22,176.56585879873552,171.0,184.0,86
2017-05-23,174.78504389948532,155.0,194.0,86
2017-05-24,190.01380389924577,175.0,210.0,86
2017-05-25,214.80242297337722,194.0,250.0,86
2017-05-26,233.6581899775617,217.0,255.0,86
2017-05-27,226.1507487990958,213.0,239.0,86
2017-05-28,212.7925478348439,200.0,234.0,86
2017-05-29,199.30043352601157,187.0,230.0,86
2017-05-30,182.4837979340597,171.0,194.0,86
2017-05-31,187.59414039262344,165.0,221.0,86
2017-06-01,191.05797759612474,182.0,201.0,86
2017-06-02,192.82573454913882,173.0,216.0,86
2017-06-03,188.56636402939904,181.0,202.0,86
2017-06-04,183.37466587466588,167.0,202.0,86
2017-06-05,187.95864872441828,180.0,202.0,86
2017-06-06,184.8446088794926,183.0,187.0,86
2017-06-07,181.73078920041536,159.0,198.0,86
2017-06-08,167.6957452884066,162.0,175.0,86
2017-06-09,171.24513327343516,156.0,190.0,86
2017-06-10,180.0574221136225,166.0,206.0,86
2017-06-11,180.25663214640375,173.0,188.0,86
2017-06-12,173.01149933657675,164.0,187.0,86
2017-06-13,179.09186954524574,164.0,199.0,86
2017-06-14,188.1469625835823,178.0,203.0,86
2017-06-15,187.26284674852207,176.0,212.0,86
2017-06-16,180.46283783783784,171.0,192.0,86
2017-06-17,206.9548733908615,188.0,237.0,86
2017-06-18,227.55193183487586,210.0,258.0,86
2017-06-19,225.77237354085602,214.0,237.0,86
2017-06-20,215.31855010660982,203.0,227.0,86
2017-06-21,211.5112676056338,207.0,234.0,86
2017-06-22,206.40076281960728,193.0,216.0,86
2017-06-23,196.40604026845637,178.0,210.0,86
2017-06-24,187.4886843693422,178.0,213.0,86
2017-06-25,178.11125945705385,165.0,203.0,86
2017-06-26,178.5628580042207,169.0,197.0,86
2017-06-27,176.80890482593756,168.0,192.0,86
2017-06-28,183.0151515151515,173.0,196.0,86
2017-06-29,180.16661603888213,167.0,206.0,86
2017-06-30,176.24944358842663,168.0,195.0,86
2017-07-01,182.72393794403365,172.0,209.0,86
2017-07-02,180.51880634131177,172.0,187.0,86
2017-07-03,183.46932799013564,166.0,200.0,86
2017-07-04,183.49939338792842,174.0,210.0,86
2017-07-05,179.74611315916013,171.0,193.0,86
2017-07-06,186.9660451720479,183.0,192.0,86
2017-07-07,186.8843387641274,182.0,191.0,86
2017-07-08,187.6145864661654,172.0,208.0,86
2017-07-09,185.7319556298435,173.0,195.0,86
2017-07-10,182.6967373327319,176.0,207.0,86
2017-07-11,184.63295880149812,170.0,207.0,86
2017-07-12,190.34899075646103,174.0,214.0,86
2017-07-13,200.570550051247,191.0,216.0,86
2017-07-14,193.19069328721898,183.0,209.0,86
2017-07-15,191.63130486534743,184.0,198.0,86
2017-07-16,192.57034331628927,179.0,214.0,86
2017-07-17,206.44551636881226,179.0,239.0,86
2017-07-18,225.36277835127564,205.0,255.0,86
2017-07-19,212.40635066728026,201.0,233.0,86
2017-07-20,192.94951298701298,182.0,206.0,86
2017-07-21,186.75292686635245,176.0,204.0,86
2017-07-22,183.60601434895435,178.0,193.0,86
2017-07-23,181.0155227514838,173.0,210.0,86
2017-07-24,196.4001447178003,177.0,222.0,86
2017-07-25,196.6242114749174,190.0,207.0,86
2017-07-26,188.6751467710372,180.0,203.0,86
2017-07-27,186.8454827739169,168.0,207.0,86
2017-07-28,185.2928452579035,171.0,195.0,86
2017-07-29,190.40627345039772,174.0,207.0,86
2017-07-30,192.27132929173445,177.0,209.0,86
2017-07-31,194.91812001182382,186.0,214.0,86
2017-08-01,187.02344786904587,180.0,194.0,86
2017-08-02,182.65970679697912,176.0,193.0,86
2017-08-03,193.6000624902359,185.0,216.0,86
2017-08-04,186.12122088818168,178.0,195.0,86
2017-08-05,186.00558099599314,173.0,204.0,86
2017-08-06,175.5213446378105,167.0,186.0,86
2017-08-07,180.63122399196442,163.0,202.0,86
2017-08-08,192.3665702542244,175.0,219.0,86
2017-08-09,198.69093632958803,185.0,212.0,86
2017-08-10,189.1755658734765,173.0,200.0,86
2017-08-11,188.2785314066647,176.0,203.0,86
2017-08-12,189.59103098927295,185.0,196.0,86
2017-08-13,180.23757718318143,168.0,191.0,86
2017-08-14,182.16777003484322,173.0,194.0,86
2017-08-15,196.70306456411782,179.0,219.0,86
2017-08-16,188.32083517129834,179.0,200.0,86
2017-08-17,199.96113236419282,180.0,224.0,86
2017-08-18,192.43621753479695,180.0,208.0,86
2017-08-19,180.9368916797488,166.0,202.0,86
2017-08-20,185.12921265636498,173.0,201.0,86
2017-08-21,182.9897026831037,173.0,194.0,86
2017-08-22,191.15387994143484,185.0,209.0,86
2017-08-23,200.66465165482848,192.0,218.0,86
2017-08-24,199.55856249090644,183.0,217.0,86
2017-08-25,195.44171338220497,189.0,202.0,86
2017-08-26,196.2083513943072,183.0,221.0,86
2017-08-27,195.95918064420366,182.0,208.0,86
2017-08-28,194.81472822910578,189.0,203.0,86
2017-08-29,179.75763899239828,172.0,197.0,86
2017-08-30,175.1924606096304,162.0,196.0,86
2017-08-31,188.25845974329056,167.0,223.0,86
2017-09-01,196.47047837954318,176.0,228.0,86
2017-09-02,192.2871540312876,175.0,207.0,86
2017-09-03,182.94168842471714,173.0,195.0,86
2017-09-04,183.2642785210761,178.0,188.0,86
2017-09-05,184.49078035108423,174.0,206.0,86
2017-09-06,179.1786023678891,162.0,193.0,86
2017-09-07,175.6534521158129,166.0,185.0,86
2017-09-08,176.12239241429614,159.0,195.0,86
2017-09-09,185.64360646441736,173.0,211.0,86
2017-09-10,179.75315111174055,164.0,196.0,86
2017-09-11,179.26097885553747,163.0,208.0,86
2017-09-12,173.75711546969472,162.0,198.0,86
2017-09-13,169.76246376811594,159.0,196.0,86
2017-09-14,178.28705915413798,156.0,213.0,86
2017-09-15,176.01602382302892,163.0,200.0,86
2017-09-16,169.60067163089502,159.0,198.0,86
2017-09-17,176.38532895675752,158.0,206.0,86
2017-09-18,173.92723138146675,166.0,197.0,86
2017-09-19,174.97529461877042,157.0,200.0,86
2017-09-20,176.6201266713582,170.0,186.0,86
2017-09-21,179.65384039526876,167.0,196.0,86
2017-09-22,171.7480440452043,159.0,192.0,86
2017-09-23,177.72783825816487,165.0,202.0,86
2017-09-24,184.0989464692483,178.0,209.0,86
2017-09-25,184.77242598320814,178.0,197.0,86
2017-09-26,186.00344036697248,177.0,203.0,86
2017-09-27,185.3909373611728,171.0,195.0,86
2017-09-28,192.46763941057498,174.0,222.0,86
2017-09-29,191.52629213483146,175.0,217.0,86
2017-09-30,179.18395613908527,165.0,197.0,86
2017-10-01,169.10890391659623,152.0,190.0,86
