datetime,mean_t,min_t,max_t,homeid
2017-07-13,217.37487504165279,206.0,228.0,149
2017-07-14,209.96203623813633,204.0,216.0,149
2017-07-15,213.02993744414655,206.0,229.0,149
2017-07-16,213.47503275585967,208.0,227.0,149
2017-07-17,212.77531044558071,209.0,217.0,149
2017-07-18,219.03406466512703,211.0,235.0,149
2017-07-19,220.0595169637723,216.0,226.0,149
2017-07-20,213.18408533948391,210.0,217.0,149
2017-07-21,205.28981913652277,202.0,210.0,149
2017-07-22,205.05874730021597,200.0,218.0,149
2017-07-23,195.08420245398773,187.0,200.0,149
2017-07-24,196.3501110288675,190.0,209.0,149
2017-07-25,201.31709464416727,199.0,206.0,149
2017-07-26,208.6341463414634,198.0,223.0,149
2017-07-27,209.6976135040745,205.0,219.0,149
2017-07-28,207.2118985883031,204.0,214.0,149
2017-07-29,204.62055966362186,198.0,220.0,149
2017-07-30,209.6969873380876,202.0,220.0,149
2017-07-31,210.78985507246378,205.0,221.0,149
2017-08-01,209.3193899782135,205.0,217.0,149
2017-08-02,209.41541786743517,202.0,220.0,149
2017-08-03,207.94788858939802,205.0,214.0,149
2017-08-04,211.72087975690928,203.0,224.0,149
2017-08-05,217.9949698189135,211.0,229.0,149
2017-08-06,212.06111616621172,205.0,222.0,149
2017-08-07,207.4822860475288,204.0,218.0,149
2017-08-08,209.83610867659948,203.0,224.0,149
2017-08-09,208.35039653929343,205.0,212.0,149
2017-08-10,203.69337175792506,201.0,207.0,149
2017-08-11,209.60207208521814,198.0,227.0,149
2017-08-12,213.2462675312924,207.0,221.0,149
2017-08-13,208.17340602756323,199.0,224.0,149
2017-08-14,208.4877750611247,205.0,215.0,149
2017-08-15,207.98901098901098,202.0,216.0,149
2017-08-16,210.57538461538462,203.0,228.0,149
2017-08-17,211.730920654149,207.0,222.0,149
2017-08-18,214.6658426639523,205.0,228.0,149
2017-08-19,217.16889924286545,212.0,225.0,149
2017-08-20,211.30834182559323,205.0,226.0,149
2017-08-21,214.59526261585995,205.0,234.0,149
2017-08-22,220.50173761946135,216.0,227.0,149
2017-08-23,215.54913544668588,213.0,219.0,149
2017-08-24,212.51599363149515,209.0,222.0,149
2017-08-25,212.2045586527294,210.0,217.0,149
2017-08-26,211.251123676961,205.0,223.0,149
2017-08-27,213.13247055402064,206.0,222.0,149
2017-08-28,213.97275569450647,212.0,216.0,149
2017-08-29,210.1810909090909,204.0,220.0,149
2017-08-30,207.9638892999852,202.0,219.0,149
2017-08-31,204.41251002405775,198.0,219.0,149
2017-09-01,204.12381363244177,198.0,217.0,149
2017-09-02,207.13243400058022,196.0,226.0,149
2017-09-03,214.6867116456439,208.0,222.0,149
