datetime,mean_t,min_t,max_t,homeid
2017-10-20,174.90489668836682,165.0,177.0,209
2017-10-21,173.95871488437064,171.0,178.0,209
2017-10-22,173.0093951849677,169.0,175.0,209
2017-10-23,168.7885564914319,168.0,170.0,209
2017-10-24,169.96939826393998,167.0,173.0,209
2017-10-25,174.29037187977585,170.0,181.0,209
2017-10-26,172.2274736484189,170.0,175.0,209
2017-10-27,170.4992698598131,167.0,176.0,209
2017-10-28,171.4209682123068,168.0,173.0,209
2017-10-29,169.03156049094096,165.0,172.0,209
2017-10-30,165.37099670757257,158.0,170.0,209
2017-10-31,167.44468768242848,164.0,171.0,209
2017-11-01,170.71510855117413,169.0,173.0,209
2017-11-02,167.9005347593583,166.0,172.0,209
2017-11-03,164.16907675194662,162.0,168.0,209
2017-11-04,164.04533333333333,161.0,169.0,209
2017-11-05,166.13353071798667,158.0,184.0,209
2017-11-06,169.5664201183432,160.0,180.0,209
2017-11-07,159.8338425723847,154.0,164.0,209
2017-11-08,150.5070727482679,148.0,154.0,209
2017-11-09,152.07762023096038,150.0,155.0,209
2017-11-10,155.64945250073987,152.0,165.0,209
2017-11-11,156.89484505801147,151.0,165.0,209
2017-11-12,151.03261977573905,146.0,163.0,209
2017-11-13,151.2623361319782,144.0,163.0,209
2017-11-14,157.48353879622914,153.0,167.0,209
2017-11-15,165.44351648351648,153.0,185.0,209
2017-11-16,160.72272924815297,152.0,168.0,209
2017-11-17,147.88274177324328,144.0,152.0,209
2017-11-18,140.43176572417772,136.0,144.0,209
2017-11-19,132.77629479181778,131.0,138.0,209
2017-11-20,149.30304806565064,134.0,192.0,209
2017-11-21,164.9048793859649,152.0,192.0,209
2017-11-22,148.7459744586341,144.0,152.0,209
2017-11-23,140.71653300431834,137.0,144.0,209
2017-11-24,132.34856535600426,128.0,137.0,209
2017-11-25,125.2801923076923,123.0,128.0,209
2017-11-26,132.00151006711408,120.0,162.0,209
2017-11-27,158.23287881109238,143.0,178.0,209
2017-11-28,149.41498181818181,140.0,178.0,209
2017-11-29,163.81159884652354,146.0,177.0,209
2017-11-30,159.73823225616053,144.0,185.0,209
2017-12-01,159.49029198162145,146.0,182.0,209
2017-12-02,166.7517446176689,156.0,180.0,209
2017-12-03,166.36695089679506,162.0,174.0,209
2017-12-04,172.1366178026296,163.0,189.0,209
2017-12-05,168.5942238267148,161.0,184.0,209
2017-12-06,158.5042378968539,157.0,161.0,209
2017-12-07,154.25458452722063,149.0,158.0,209
2017-12-08,151.96069549970778,139.0,177.0,209
2017-12-09,161.03829849437216,147.0,171.0,209
2017-12-10,158.22005813953487,145.0,180.0,209
2017-12-11,159.99924840285607,144.0,182.0,209
2017-12-12,146.8375451263538,138.0,170.0,209
2017-12-13,134.15744742149238,130.0,138.0,209
2017-12-14,125.86505190311419,123.0,130.0,209
2017-12-15,119.80173410404625,117.0,123.0,209
2017-12-16,114.19594010941549,111.0,117.0,209
2017-12-17,111.90511896178803,110.0,113.0,209
2017-12-18,112.57939481268012,112.0,113.0,209
2017-12-19,117.5693415202202,113.0,120.0,209
2017-12-20,136.73325447286706,120.0,178.0,209
2017-12-21,161.47198941332158,152.0,175.0,209
2017-12-22,163.87663301662707,150.0,174.0,209
2017-12-23,178.5204855842185,163.0,191.0,209
2017-12-24,174.75643681562593,165.0,189.0,209
2017-12-25,159.40097289784572,150.0,165.0,209
2017-12-26,142.71376706360732,135.0,150.0,209
2017-12-27,135.01650412603152,126.0,173.0,209
2017-12-28,161.14182111200645,147.0,172.0,209
2017-12-29,163.75753991720876,146.0,169.0,209
2017-12-30,161.6713327500729,156.0,175.0,209
2017-12-31,168.3732590529248,162.0,175.0,209
2018-01-01,163.88467234357645,156.0,174.0,209
2018-01-02,166.01370662000582,158.0,172.0,209
2018-01-03,181.94336778639104,159.0,190.0,209
2018-01-04,174.61560989896032,169.0,185.0,209
2018-01-05,168.96901490792166,162.0,178.0,209
2018-01-06,160.62774583517617,150.0,178.0,209
2018-01-07,158.92162162162163,147.0,168.0,209
2018-01-08,152.14532269760696,141.0,168.0,209
2018-01-09,163.1515977585946,147.0,172.0,209
2018-01-10,163.36107091172215,152.0,176.0,209
2018-01-11,144.7337261100733,139.0,152.0,209
2018-01-12,136.42381255977048,134.0,139.0,209
2018-01-13,143.7083876575402,129.0,174.0,209
2018-01-14,163.13644314868804,152.0,175.0,209
2018-01-15,172.13623094388583,164.0,180.0,209
2018-01-16,170.5633431085044,163.0,176.0,209
2018-01-17,166.70358496065288,160.0,178.0,209
2018-01-18,167.0085701398286,157.0,176.0,209
2018-01-19,163.47729270436565,154.0,177.0,209
2018-01-20,164.03477874796508,157.0,178.0,209
2018-01-21,161.67877177443165,150.0,172.0,209
2018-01-22,167.47455396314712,156.0,176.0,209
2018-01-23,170.14978387521143,164.0,177.0,209
2018-01-24,164.39708242159008,155.0,174.0,209
2018-01-25,150.73743466023322,146.0,155.0,209
2018-01-26,141.1746762589928,138.0,146.0,209
2018-01-27,157.15050752537627,137.0,169.0,209
2018-01-28,164.38067349926794,155.0,176.0,209
2018-01-29,170.39524712057153,163.0,179.0,209
2018-01-30,172.43963753288511,165.0,177.0,209
2018-01-31,170.01159756451145,162.0,176.0,209
2018-02-01,164.5478955007257,159.0,179.0,209
2018-02-02,167.47428820453226,155.0,173.0,209
2018-02-03,167.99466002135992,157.0,175.0,209
2018-02-04,163.6060959603325,155.0,175.0,209
2018-02-05,167.20404893678997,155.0,175.0,209
2018-02-06,169.6159757330637,156.0,173.0,209
2018-02-07,166.10222287218485,152.0,173.0,209
2018-02-08,169.5318961724593,162.0,179.0,209
2018-02-09,159.61497403346797,152.0,172.0,209
2018-02-10,164.67791365846472,153.0,177.0,209
2018-02-11,166.28852201257862,159.0,174.0,209
2018-02-12,168.86238154099712,157.0,173.0,209
2018-02-13,154.41086045118786,147.0,167.0,209
2018-02-14,140.86384544618215,139.0,147.0,209
2018-02-15,138.4246126340882,136.0,142.0,209
2018-02-16,146.00501543209876,132.0,164.0,209
2018-02-17,158.99804305283757,149.0,168.0,209
2018-02-18,160.21098834569395,150.0,167.0,209
2018-02-19,165.33508771929826,158.0,172.0,209
2018-02-20,163.23442136498517,158.0,169.0,209
2018-02-21,166.6750700280112,155.0,172.0,209
2018-02-22,158.24449438202248,154.0,165.0,209
2018-02-23,161.89350544574424,148.0,169.0,209
2018-02-24,161.7138388201996,151.0,168.0,209
2018-02-25,163.97084952804,156.0,171.0,209
2018-02-26,161.29224417575935,152.0,168.0,209
2018-02-27,152.50225717198194,141.0,159.0,209
2018-02-28,131.5983232828357,122.0,141.0,209
2018-03-01,116.31065088757397,111.0,123.0,209
2018-03-02,107.11336619309945,104.0,111.0,209
2018-03-03,103.08329749103943,102.0,105.0,209
2018-03-04,101.14844093104962,101.0,102.0,209
2018-03-05,102.43812316715542,101.0,103.0,209
2018-03-06,103.15820765661253,102.0,104.0,209
2018-03-07,127.1179231446172,102.0,188.0,209
2018-03-08,179.30131386861314,162.0,194.0,209
2018-03-09,186.07332442237922,172.0,194.0,209
2018-03-10,169.3448479480366,161.0,179.0,209
2018-03-11,167.09087669280115,160.0,171.0,209
2018-03-12,165.50251946862116,157.0,171.0,209
2018-03-13,167.53466686719807,159.0,174.0,209
2018-03-14,157.9526417048986,153.0,167.0,209
2018-03-15,147.5085589791472,143.0,153.0,209
2018-03-16,142.22773426167683,136.0,160.0,209
2018-03-17,154.78783524904213,140.0,164.0,209
2018-03-18,159.62570462232244,139.0,170.0,209
2018-03-19,150.17574414186194,141.0,165.0,209
2018-03-20,157.20012808197245,139.0,166.0,209
2018-03-21,161.28571428571428,149.0,169.0,209
2018-03-22,164.8515497553018,160.0,171.0,209
2018-03-23,170.2404265632574,166.0,172.0,209
2018-03-24,167.63348416289594,161.0,174.0,209
2018-03-25,165.64356275303643,160.0,172.0,209
2018-03-26,160.66636636636636,156.0,166.0,209
2018-03-27,153.76478149100257,150.0,157.0,209
2018-03-28,146.35776454420522,142.0,150.0,209
2018-03-29,139.36291258915244,136.0,143.0,209
2018-03-30,141.9029437481784,131.0,163.0,209
2018-03-31,151.97904557968798,140.0,163.0,209
2018-04-01,149.5234840773593,140.0,161.0,209
2018-04-02,153.89445239230648,141.0,163.0,209
2018-04-03,155.80814696485623,142.0,167.0,209
2018-04-04,150.5560938682816,138.0,180.0,209
2018-04-05,160.93201428146384,146.0,175.0,209
2018-04-06,158.07085463842222,154.0,166.0,209
2018-04-07,164.325129140079,156.0,171.0,209
2018-04-08,163.957181088314,161.0,169.0,209
2018-04-09,166.3438995215311,160.0,172.0,209
2018-04-10,164.17357553174972,159.0,168.0,209
2018-04-11,160.16366765764357,154.0,166.0,209
2018-04-12,162.24078700811992,153.0,172.0,209
2018-04-13,154.6373401534527,152.0,158.0,209
2018-04-14,150.14363767074047,148.0,152.0,209
2018-04-15,151.42883211678833,145.0,166.0,209
2018-04-16,157.86360920227068,155.0,163.0,209
2018-04-17,155.19697199091598,153.0,158.0,209
2018-04-18,157.33441991406133,154.0,160.0,209
2018-04-19,162.5900204260286,158.0,167.0,209
2018-04-20,163.95918072984279,160.0,168.0,209
2018-04-21,161.0932142342602,159.0,163.0,209
2018-04-22,160.27247679814386,158.0,169.0,209
2018-04-23,167.30837972458247,163.0,172.0,209
2018-04-24,169.52231926249394,165.0,174.0,209
2018-04-25,170.20593368237348,166.0,173.0,209
2018-04-26,168.98085075281392,166.0,172.0,209
2018-04-27,163.61115133960897,161.0,166.0,209
2018-04-28,159.43730931279964,156.0,161.0,209
2018-04-29,152.82222864575806,150.0,156.0,209
2018-04-30,147.78551853454493,145.0,151.0,209
2018-05-01,146.040150746485,142.0,150.0,209
2018-05-02,145.26617455492834,143.0,146.0,209
2018-05-03,143.57295657726692,142.0,145.0,209
2018-05-04,147.3956043956044,144.0,151.0,209
2018-05-05,155.53113147914033,148.0,167.0,209
2018-05-06,164.25499276410997,161.0,168.0,209
2018-05-07,167.84239604536202,165.0,170.0,209
2018-05-08,173.412577417818,169.0,177.0,209
2018-05-09,171.4416409861325,170.0,173.0,209
2018-05-10,,,,209
2018-05-11,166.7691131498471,166.0,169.0,209
2018-05-12,166.3288707799767,165.0,168.0,209
2018-05-13,166.76098901098902,164.0,170.0,209
2018-05-14,164.7115245925285,162.0,167.0,209
2018-05-15,165.35013538846073,162.0,170.0,209
2018-05-16,164.42182103610676,162.0,167.0,209
2018-05-17,164.40401664555816,160.0,168.0,209
2018-05-18,165.81101792943898,162.0,169.0,209
2018-05-19,171.15001575795776,165.0,175.0,209
2018-05-20,178.14904458598727,175.0,181.0,209
2018-05-21,182.89093825180433,179.0,186.0,209
2018-05-22,180.27710127710128,177.0,183.0,209
2018-05-23,175.61064336775217,173.0,178.0,209
2018-05-24,170.88927688054707,169.0,173.0,209
2018-05-25,171.0068167406468,167.0,174.0,209
2018-05-26,169.16493656286045,167.0,171.0,209
2018-05-27,165.47997703459166,164.0,167.0,209
2018-05-28,166.52332949308754,163.0,169.0,209
2018-05-29,166.17748849023656,165.0,167.0,209
2018-05-30,167.99277499262755,165.0,171.0,209
2018-05-31,173.4379343019583,170.0,177.0,209
2018-06-01,179.23844320889594,174.0,184.0,209
2018-06-02,185.89671435308912,181.0,189.0,209
2018-06-03,187.3419336135672,185.0,190.0,209
2018-06-04,186.11891576799766,183.0,188.0,209
2018-06-05,182.4033084467867,180.0,184.0,209
2018-06-06,178.89035280339627,177.0,181.0,209
2018-06-07,179.11190965092402,177.0,182.0,209
2018-06-08,179.18475547070054,177.0,182.0,209
2018-06-09,180.32997076023392,177.0,184.0,209
2018-06-10,183.05396363636365,179.0,187.0,209
2018-06-11,184.25629887054734,182.0,185.0,209
2018-06-12,181.6137951105937,180.0,183.0,209
2018-06-13,180.593445010925,178.0,182.0,209
2018-06-14,184.944817300522,182.0,187.0,209
2018-06-15,183.4210070696869,181.0,185.0,209
2018-06-16,182.93226042428677,181.0,184.0,209
2018-06-17,183.280268730831,180.0,186.0,209
2018-06-18,,,,209
2018-06-19,181.77346654275092,180.0,184.0,209
2018-06-20,180.57688368690563,179.0,183.0,209
2018-06-21,178.90554744525548,177.0,181.0,209
2018-06-22,178.69301176812436,175.0,181.0,209
2018-06-23,181.9030664147653,178.0,186.0,209
2018-06-24,186.68405041286397,183.0,193.0,209
2018-06-25,190.71458333333334,187.0,194.0,209
2018-06-26,190.7569514237856,189.0,193.0,209
2018-06-27,187.88020758252847,186.0,189.0,209
2018-06-28,189.8558025404157,186.0,193.0,209
2018-06-29,192.27102256079695,191.0,194.0,209
2018-06-30,191.20008705745792,190.0,193.0,209
