datetime,mean_t,min_t,max_t,homeid
2017-12-19,177.74278328306764,170.0,188.0,278
2017-12-20,178.01371784879188,169.0,187.0,278
2017-12-21,173.9931592039801,163.0,191.0,278
2017-12-22,175.30949406620863,159.0,202.0,278
2017-12-23,208.15392725355824,202.0,220.0,278
2017-12-24,196.00763596696277,183.0,206.0,278
2017-12-25,197.31672862453533,186.0,205.0,278
2017-12-26,187.8754481683554,184.0,196.0,278
2017-12-27,169.8231622746186,157.0,185.0,278
2017-12-28,158.38884331419197,143.0,168.0,278
2017-12-29,182.19839743589745,165.0,191.0,278
2017-12-30,185.35670588235294,174.0,193.0,278
2017-12-31,178.8574610244989,175.0,191.0,278
2018-01-01,183.032380571657,181.0,191.0,278
2018-01-02,188.29941682013506,183.0,196.0,278
2018-01-03,194.62878262878263,191.0,202.0,278
2018-01-04,198.67224394057857,194.0,203.0,278
2018-01-05,200.66233766233765,194.0,205.0,278
2018-01-06,193.91606752110033,190.0,198.0,278
2018-01-07,183.63316029573699,177.0,192.0,278
2018-01-08,169.2692366763938,149.0,181.0,278
2018-01-09,186.58226462308414,181.0,191.0,278
2018-01-10,177.94092694422625,157.0,194.0,278
2018-01-11,185.94102925074301,180.0,192.0,278
2018-01-12,182.19352014010508,162.0,198.0,278
2018-01-13,200.08747993579453,188.0,207.0,278
2018-01-14,193.0801256873527,181.0,205.0,278
2018-01-15,180.23721739130434,163.0,191.0,278
2018-01-16,185.45856697819315,170.0,199.0,278
2018-01-17,189.02791056283732,184.0,196.0,278
2018-01-18,191.96556626125414,187.0,197.0,278
2018-01-19,175.80882352941177,155.0,191.0,278
2018-01-20,191.13089659481412,174.0,206.0,278
2018-01-21,188.8444375097519,180.0,199.0,278
2018-01-22,186.71572580645162,183.0,192.0,278
2018-01-23,179.12686258278146,165.0,194.0,278
2018-01-24,179.19933712121212,161.0,195.0,278
2018-01-25,175.69507410636442,165.0,185.0,278
2018-01-26,166.1625386996904,152.0,185.0,278
2018-01-27,192.08575634891423,160.0,203.0,278
2018-01-28,199.10639974779318,194.0,203.0,278
2018-01-29,197.79832713754647,190.0,216.0,278
2018-01-30,185.14456692913384,180.0,190.0,278
2018-01-31,164.25636645962732,148.0,184.0,278
2018-02-01,179.60863466334163,174.0,183.0,278
2018-02-02,191.5731292517007,183.0,205.0,278
2018-02-03,194.99172932330828,192.0,201.0,278
2018-02-04,200.56848772763263,194.0,212.0,278
2018-02-05,200.81659594530882,195.0,205.0,278
2018-02-06,197.6849889624724,190.0,205.0,278
2018-02-07,192.73286467486818,187.0,200.0,278
2018-02-08,190.51027287319422,188.0,194.0,278
2018-02-09,198.17707026348808,191.0,212.0,278
2018-02-10,205.18565941101153,200.0,213.0,278
2018-02-11,196.19115044247786,177.0,213.0,278
2018-02-12,197.68862548438568,190.0,210.0,278
2018-02-13,190.04469273743015,183.0,201.0,278
2018-02-14,185.79581358609795,178.0,193.0,278
2018-02-15,184.28022759601706,177.0,192.0,278
2018-02-16,196.78761251607372,185.0,206.0,278
2018-02-17,197.51467865644008,191.0,208.0,278
2018-02-18,198.80998110831234,192.0,205.0,278
2018-02-19,208.5914853654719,205.0,214.0,278
2018-02-20,208.6973712331695,201.0,219.0,278
2018-02-21,193.91627408993577,181.0,206.0,278
2018-02-22,180.85842424242423,168.0,198.0,278
2018-02-23,175.25,163.0,192.0,278
2018-02-24,199.16274159493258,180.0,215.0,278
2018-02-25,205.66327160493827,197.0,219.0,278
2018-02-26,194.32760794201073,188.0,199.0,278
2018-02-27,189.03084185680567,184.0,195.0,278
2018-02-28,188.16118935837247,182.0,195.0,278
2018-03-01,192.58310194367314,183.0,198.0,278
2018-03-02,200.66576476205634,191.0,208.0,278
2018-03-03,209.4565560821485,203.0,215.0,278
2018-03-04,208.00242248062017,194.0,221.0,278
2018-03-05,190.44439110257642,177.0,199.0,278
2018-03-06,184.49119746233148,173.0,192.0,278
2018-03-07,189.22237675784268,186.0,192.0,278
2018-03-08,183.37198443579766,167.0,194.0,278
2018-03-09,204.2025811497849,186.0,221.0,278
2018-03-10,208.39776951672863,203.0,215.0,278
2018-03-11,210.4120879120879,206.0,215.0,278
2018-03-12,201.56337808304716,181.0,217.0,278
2018-03-13,182.0839825490807,168.0,201.0,278
2018-03-14,170.8795746011886,156.0,190.0,278
2018-03-15,165.18667546174143,149.0,183.0,278
2018-03-16,165.83933817844442,149.0,184.0,278
2018-03-17,203.30233714569866,184.0,211.0,278
2018-03-18,207.2873949579832,202.0,211.0,278
2018-03-19,207.33405029781602,195.0,221.0,278
2018-03-20,191.86095365121707,179.0,205.0,278
2018-03-21,184.4275105485232,168.0,196.0,278
2018-03-22,175.49541895718806,155.0,196.0,278
2018-03-23,173.29093717816684,161.0,184.0,278
2018-03-24,200.95984,184.0,216.0,278
2018-03-25,208.85273159144893,201.0,221.0,278
2018-03-26,181.48971962616824,172.0,204.0,278
2018-03-27,177.130173564753,164.0,192.0,278
2018-03-28,173.31236863379144,160.0,196.0,278
2018-03-29,191.60779775680967,172.0,205.0,278
2018-03-30,186.76418497868153,172.0,207.0,278
2018-03-31,198.39296913682125,185.0,208.0,278
2018-04-01,206.38182666874124,196.0,215.0,278
2018-04-02,199.0893288266538,189.0,206.0,278
2018-04-03,188.28332559219695,177.0,202.0,278
2018-04-04,193.1471008737093,180.0,206.0,278
2018-04-05,202.09208275003888,192.0,210.0,278
2018-04-06,181.86101960784313,166.0,199.0,278
2018-04-07,202.38879074995984,199.0,206.0,278
2018-04-08,209.49890727443022,205.0,214.0,278
2018-04-09,196.904776723199,187.0,210.0,278
2018-04-10,181.86221864951767,164.0,202.0,278
2018-04-11,192.8729388942774,178.0,204.0,278
2018-04-12,183.89740173217854,165.0,205.0,278
2018-04-13,205.00056211354695,201.0,212.0,278
2018-04-14,211.83743061062648,190.0,231.0,278
2018-04-15,208.23775011816608,195.0,231.0,278
2018-04-16,198.7605459057072,185.0,216.0,278
2018-04-17,200.42470925842017,191.0,214.0,278
2018-04-18,195.59326788218794,190.0,213.0,278
2018-04-19,203.3308399563659,197.0,211.0,278
2018-04-20,201.49233896185115,194.0,211.0,278
2018-04-21,202.185,197.0,211.0,278
2018-04-22,209.9715602160788,195.0,231.0,278
2018-04-23,201.57326717320515,186.0,227.0,278
2018-04-24,199.9645811789038,190.0,206.0,278
2018-04-25,192.9850304069858,180.0,204.0,278
2018-04-26,182.07326578332035,174.0,196.0,278
2018-04-27,175.401773215119,170.0,184.0,278
2018-04-28,191.78433544303797,171.0,212.0,278
2018-04-29,194.77408637873754,182.0,205.0,278
2018-04-30,209.02335489979487,189.0,224.0,278
