datetime,Consumption (kWh),homeid
2017-12-20,6.080349444444445,280
2017-12-21,7.827169444444444,280
2017-12-22,10.218974444444445,280
2017-12-23,6.1778072222222224,280
2017-12-24,11.155058333333333,280
2017-12-29,6.1270725,280
2017-12-30,14.058146388888888,280
2017-12-31,1.9947816666666667,280
2018-01-01,10.395833333333334,280
2018-01-02,10.028088055555555,280
2018-01-03,12.984061666666667,280
2018-01-04,15.730792777777777,280
2018-01-05,11.87518,280
2018-01-06,12.285617222222223,280
2018-01-07,16.862146666666668,280
2018-01-08,13.497650555555555,280
2018-01-09,12.810878888888888,280
2018-01-10,10.124348333333334,280
2018-01-11,11.165838055555556,280
2018-01-12,12.490249166666667,280
2018-01-13,23.858871666666666,280
2018-01-14,16.882656666666666,280
2018-01-15,11.48997861111111,280
2018-01-18,13.334909444444444,280
2018-01-19,15.528088888888888,280
2018-01-20,23.0811675,280
2018-01-21,20.360539166666666,280
2018-01-22,14.772883055555555,280
2018-01-23,9.842660277777778,280
2018-01-24,16.802885,280
2018-01-25,9.370925277777777,280
2018-01-26,13.852879444444444,280
2018-01-27,13.410413888888888,280
2018-01-28,17.253618888888887,280
2018-01-29,10.643781944444445,280
2018-01-30,18.73549111111111,280
2018-01-31,17.8080625,280
2018-02-01,7.304914166666666,280
2018-02-02,12.327459722222223,280
2018-02-03,4.360468611111111,280
2018-02-04,21.536987222222223,280
2018-02-05,15.620326944444445,280
2018-02-06,12.640955833333333,280
2018-02-07,20.695202777777777,280
2018-02-08,16.747401944444444,280
2018-02-09,14.122474166666667,280
2018-02-10,18.132188333333332,280
2018-02-13,10.684859444444445,280
2018-02-14,18.61245611111111,280
2018-02-15,19.225307222222224,280
2018-02-16,15.774571111111111,280
2018-02-17,15.875630555555556,280
2018-02-18,14.749955277777778,280
2018-02-19,16.53544861111111,280
2018-02-20,11.982052222222222,280
2018-02-21,5.997750555555555,280
2018-02-22,15.766594722222223,280
2018-02-23,11.878224722222223,280
2018-02-26,18.803733333333334,280
2018-02-27,18.918824166666667,280
2018-02-28,26.777033055555556,280
2018-03-01,27.163990555555557,280
2018-03-02,22.167094166666665,280
2018-03-03,23.485729166666665,280
2018-03-04,24.358996944444446,280
2018-03-05,18.89772388888889,280
2018-03-06,19.302309722222223,280
2018-03-07,18.064703333333334,280
2018-03-08,14.861389722222222,280
2018-03-09,12.023513888888889,280
2018-03-10,14.739911388888888,280
2018-03-11,3.5167522222222223,280
2018-03-12,17.593708055555556,280
2018-03-13,21.23752111111111,280
2018-03-14,13.310045833333334,280
2018-03-15,12.74510861111111,280
2018-03-16,14.4326125,280
2018-03-17,26.8611125,280
2018-03-18,27.39325611111111,280
2018-03-19,12.308172777777777,280
2018-03-20,12.694292222222222,280
2018-03-21,12.927153333333333,280
2018-03-22,11.004563055555556,280
2018-03-23,7.575995833333334,280
2018-03-24,21.04722222222222,280
2018-03-25,12.888440833333334,280
2018-03-26,10.643722499999999,280
2018-03-27,18.310361944444445,280
2018-03-28,11.875770555555555,280
2018-03-29,8.848745833333334,280
2018-03-30,24.97325777777778,280
2018-03-31,22.24582138888889,280
2018-04-01,17.40554861111111,280
2018-04-02,21.33771861111111,280
2018-04-03,24.817632777777778,280
2018-04-04,23.2110625,280
2018-04-05,18.198844166666667,280
2018-04-06,17.696381944444443,280
2018-04-07,15.916460833333334,280
2018-04-08,10.745301388888889,280
2018-04-09,12.517021944444444,280
2018-04-10,16.655724166666666,280
2018-04-11,9.952029722222223,280
2018-04-12,10.274498888888889,280
2018-04-13,5.001569166666667,280
2018-04-14,15.677380833333332,280
2018-04-15,17.48787777777778,280
2018-04-16,11.12318111111111,280
2018-04-17,9.797704722222223,280
2018-04-18,6.8319197222222225,280
2018-04-19,5.464503611111111,280
2018-04-20,9.544171944444445,280
2018-04-23,7.661118611111111,280
2018-04-24,5.398455833333333,280
2018-04-25,9.918226666666667,280
2018-04-26,7.930759444444444,280
2018-04-27,7.444441666666667,280
2018-04-28,13.903089166666666,280
2018-04-29,12.26843,280
2018-04-30,14.758329722222221,280
2018-05-01,12.495888333333333,280
2018-05-02,11.653618611111112,280
2018-05-03,8.054836388888889,280
2018-05-04,8.156737777777778,280
2018-05-05,9.378879722222223,280
2018-05-06,8.00647,280
2018-05-07,7.967136666666667,280
2018-05-08,10.459074166666667,280
2018-05-12,10.101873055555556,280
2018-05-13,9.889106666666667,280
2018-05-14,5.58534,280
2018-05-15,3.713087222222222,280
2018-05-16,9.684774166666667,280
2018-05-17,4.945663888888889,280
2018-05-18,8.399387222222222,280
2018-05-19,10.918212777777777,280
2018-05-20,8.60839388888889,280
2018-05-21,4.567308333333333,280
2018-05-22,5.807376388888889,280
2018-05-23,7.629519444444444,280
2018-05-24,5.816660833333334,280
2018-05-25,8.380066666666666,280
2018-05-26,7.115279166666666,280
2018-05-27,10.180672222222222,280
2018-05-30,7.3751025,280
2018-05-31,5.343593611111111,280
2018-06-01,7.838540555555555,280
2018-06-02,8.611000833333334,280
2018-06-04,5.191748333333333,280
2018-06-06,6.825152222222222,280
2018-06-07,7.802137222222222,280
2018-06-08,8.57966888888889,280
2018-06-09,10.087485277777779,280
2018-06-10,8.037613333333333,280
2018-06-11,5.092851944444445,280
2018-06-12,5.603492222222222,280
2018-06-13,8.303410833333333,280
2018-06-14,4.631514166666666,280
2018-06-15,8.851934444444444,280
2018-06-16,9.742371666666667,280
2018-06-17,8.452319166666667,280
2018-06-19,3.3067533333333334,280
2018-06-20,7.159036388888889,280
2018-06-21,7.794233611111111,280
2018-06-22,5.516216666666667,280
