datetime,mean_h,min_h,max_h,homeid
2017-10-12,678.3780575539569,640.0,708.0,214
2017-10-13,739.3179109159347,695.0,825.0,214
2017-10-14,719.4020900321543,691.0,745.0,214
2017-10-15,721.778984989278,705.0,761.0,214
2017-10-16,708.73622803131,678.0,737.0,214
2017-10-17,683.525284738041,659.0,739.0,214
2017-10-18,752.0935051366881,722.0,782.0,214
2017-10-19,748.0344285489703,719.0,774.0,214
2017-10-20,719.4731216598553,677.0,752.0,214
2017-10-21,705.8662800064443,679.0,768.0,214
2017-10-22,729.4961794019933,659.0,763.0,214
2017-10-23,682.1608564855778,630.0,761.0,214
2017-10-24,761.2922192043458,734.0,811.0,214
2017-10-25,723.9339265850946,671.0,791.0,214
2017-10-26,669.0048400673401,601.0,721.0,214
2017-10-27,631.1407382437216,599.0,659.0,214
2017-10-28,664.8765747361253,618.0,712.0,214
2017-10-29,653.0699708454811,609.0,711.0,214
2017-10-30,624.7530630105017,588.0,680.0,214
2017-10-31,697.2810171687722,648.0,798.0,214
2017-11-01,715.4765665236051,694.0,741.0,214
2017-11-02,686.6838055264078,629.0,727.0,214
2017-11-03,644.9142673315104,510.0,691.0,214
2017-11-04,623.6777794096049,586.0,663.0,214
2017-11-05,583.8609238862404,529.0,612.0,214
2017-11-06,596.9345486111112,547.0,665.0,214
2017-11-07,631.814499605989,598.0,665.0,214
2017-11-08,598.7760124610592,578.0,625.0,214
2017-11-09,641.9734652897304,589.0,689.0,214
2017-11-10,613.8182401025805,577.0,664.0,214
2017-11-11,591.2352141400407,573.0,611.0,214
2017-11-12,589.2742797998965,572.0,614.0,214
2017-11-13,604.8102472445636,566.0,643.0,214
2017-11-14,611.0893656428461,519.0,665.0,214
2017-11-15,615.2223708409965,527.0,672.0,214
2017-11-16,603.1783481408359,518.0,635.0,214
2017-11-17,594.1457409389815,576.0,625.0,214
2017-11-18,579.0486725663717,543.0,614.0,214
2017-11-19,551.2763009505397,507.0,583.0,214
2017-11-20,583.951467453681,569.0,611.0,214
2017-11-21,618.261485826002,588.0,665.0,214
2017-11-22,650.6717737183264,625.0,687.0,214
2017-11-23,632.8493532012445,584.0,670.0,214
2017-11-24,596.9180136643893,535.0,638.0,214
2017-11-25,531.6021089630932,507.0,556.0,214
2017-11-26,532.7969790482377,498.0,572.0,214
2017-11-27,575.2428640541848,535.0,629.0,214
2017-11-28,589.9952459316146,541.0,644.0,214
2017-11-29,555.3083109919571,497.0,585.0,214
2017-11-30,496.4532546266752,462.0,533.0,214
2017-12-01,506.2878134796238,477.0,556.0,214
2017-12-02,557.3149737720553,519.0,611.0,214
2017-12-03,572.977344137589,521.0,615.0,214
2017-12-04,582.3535662824207,536.0,637.0,214
2017-12-05,593.9953165654814,552.0,642.0,214
2017-12-06,594.2238982549542,571.0,639.0,214
2017-12-07,598.7284866468842,527.0,635.0,214
2017-12-08,525.2597200622084,427.0,598.0,214
2017-12-09,528.7436448263516,457.0,555.0,214
2017-12-10,471.11771578793633,436.0,545.0,214
2017-12-11,465.53409335340933,438.0,485.0,214
2017-12-12,523.8521338763945,460.0,602.0,214
2017-12-13,545.6099945681694,523.0,591.0,214
2017-12-14,511.2684246112238,481.0,543.0,214
2017-12-15,515.1273728170083,487.0,562.0,214
2017-12-16,494.98512221041443,429.0,548.0,214
2017-12-17,508.69514018691586,454.0,559.0,214
2017-12-18,529.5631804684922,502.0,574.0,214
2017-12-19,581.0652009097802,499.0,609.0,214
2017-12-20,625.3379587365346,597.0,649.0,214
2017-12-21,590.724828852897,525.0,655.0,214
2017-12-22,558.3086993970715,491.0,617.0,214
2017-12-23,666.2176501035196,617.0,684.0,214
2017-12-24,697.4849991123735,684.0,703.0,214
2017-12-25,690.6149732620321,663.0,704.0,214
2017-12-26,652.0146358066712,644.0,662.0,214
2017-12-27,644.3585034013605,639.0,652.0,214
2017-12-28,646.984375,640.0,652.0,214
2017-12-29,604.6465743167353,571.0,646.0,214
2017-12-30,515.9996616477754,491.0,571.0,214
2017-12-31,546.2816901408451,521.0,612.0,214
2018-01-01,579.127920910725,556.0,609.0,214
2018-01-02,559.0817547357926,501.0,599.0,214
2018-01-03,586.3844554198076,547.0,634.0,214
2018-01-04,576.976862563628,521.0,633.0,214
2018-01-05,541.1870615744349,498.0,610.0,214
2018-01-06,518.2590330788804,496.0,566.0,214
2018-01-07,524.1841514276548,462.0,550.0,214
2018-01-08,524.3152900917717,485.0,558.0,214
2018-01-09,528.3693317422434,478.0,613.0,214
2018-01-10,604.2020338983051,578.0,629.0,214
2018-01-11,568.8719960765081,545.0,605.0,214
2018-01-12,583.418092047258,556.0,622.0,214
2018-01-13,598.2913770152344,553.0,637.0,214
2018-01-14,582.9554099408663,542.0,615.0,214
2018-01-15,593.3565521043926,536.0,647.0,214
2018-01-16,554.671114599686,523.0,608.0,214
2018-01-17,532.8728409767718,495.0,564.0,214
2018-01-18,561.3228035538006,525.0,631.0,214
2018-01-19,545.9577489481065,497.0,573.0,214
2018-01-20,563.486288209607,539.0,652.0,214
2018-01-21,538.9074760580785,512.0,564.0,214
2018-01-22,544.4212922810061,442.0,624.0,214
2018-01-23,547.4398040130658,517.0,598.0,214
2018-01-24,585.4936883629191,509.0,631.0,214
2018-01-25,580.9613474411574,531.0,607.0,214
2018-01-26,594.1362692763938,588.0,600.0,214
2018-01-27,595.6228956228956,576.0,639.0,214
