datetime,mean_h,min_h,max_h,homeid
2018-02-05,535.0541543026707,498.0,787.0,288
2018-02-06,482.0457472795914,420.0,527.0,288
2018-02-07,425.21855541718554,338.0,503.0,288
2018-02-08,504.5198285101822,459.0,560.0,288
2018-02-09,493.1215521271622,466.0,517.0,288
2018-02-10,486.9683925346177,469.0,544.0,288
2018-02-11,,,,288
2018-02-12,,,,288
2018-02-13,,,,288
2018-02-14,,,,288
2018-02-15,,,,288
2018-02-16,,,,288
2018-02-17,,,,288
2018-02-18,,,,288
2018-02-19,,,,288
2018-02-20,,,,288
2018-02-21,,,,288
2018-02-22,,,,288
2018-02-23,,,,288
2018-02-24,,,,288
2018-02-25,,,,288
2018-02-26,,,,288
2018-02-27,,,,288
2018-02-28,,,,288
2018-03-01,,,,288
2018-03-02,,,,288
2018-03-03,,,,288
2018-03-04,,,,288
2018-03-05,,,,288
2018-03-06,,,,288
2018-03-07,,,,288
2018-03-08,,,,288
2018-03-09,,,,288
2018-03-10,,,,288
2018-03-11,,,,288
2018-03-12,,,,288
2018-03-13,,,,288
2018-03-14,,,,288
2018-03-15,,,,288
2018-03-16,440.40337654507084,352.0,560.0,288
2018-03-17,460.3930699278771,401.0,535.0,288
2018-03-18,415.8028103044496,346.0,522.0,288
2018-03-19,412.050595752029,347.0,490.0,288
2018-03-20,391.70580157912804,359.0,419.0,288
2018-03-21,,,,288
2018-03-22,,,,288
2018-03-23,,,,288
2018-03-24,,,,288
2018-03-25,,,,288
2018-03-26,,,,288
2018-03-27,,,,288
2018-03-28,,,,288
2018-03-29,,,,288
2018-03-30,,,,288
2018-03-31,,,,288
2018-04-01,,,,288
2018-04-02,,,,288
2018-04-03,,,,288
2018-04-04,,,,288
2018-04-05,,,,288
2018-04-06,,,,288
2018-04-07,,,,288
2018-04-08,,,,288
2018-04-09,,,,288
2018-04-10,486.13586156111927,456.0,521.0,288
2018-04-11,470.68024883359254,417.0,519.0,288
2018-04-12,505.91722015227606,452.0,539.0,288
2018-04-13,482.62228571428574,467.0,514.0,288
2018-04-14,510.6762643592421,472.0,541.0,288
2018-04-15,565.2348993288591,519.0,609.0,288
2018-04-16,506.563,380.0,578.0,288
2018-04-17,535.5569682959049,476.0,568.0,288
2018-04-18,,,,288
2018-04-19,,,,288
2018-04-20,,,,288
2018-04-21,,,,288
2018-04-22,,,,288
2018-04-23,,,,288
2018-04-24,,,,288
2018-04-25,,,,288
2018-04-26,,,,288
2018-04-27,,,,288
2018-04-28,,,,288
2018-04-29,,,,288
2018-04-30,,,,288
2018-05-01,,,,288
2018-05-02,,,,288
2018-05-03,,,,288
2018-05-04,,,,288
2018-05-05,,,,288
2018-05-06,,,,288
2018-05-07,,,,288
2018-05-08,,,,288
2018-05-09,,,,288
2018-05-10,,,,288
2018-05-11,,,,288
2018-05-12,,,,288
2018-05-13,,,,288
2018-05-14,,,,288
2018-05-15,,,,288
2018-05-16,,,,288
2018-05-17,,,,288
2018-05-18,,,,288
2018-05-19,,,,288
2018-05-20,,,,288
2018-05-21,,,,288
2018-05-22,,,,288
2018-05-23,,,,288
2018-05-24,,,,288
2018-05-25,,,,288
2018-05-26,,,,288
2018-05-27,,,,288
2018-05-28,,,,288
2018-05-29,,,,288
2018-05-30,,,,288
2018-05-31,,,,288
2018-06-01,680.9717956753369,615.0,786.0,288
2018-06-02,657.085970464135,590.0,728.0,288
2018-06-03,667.9055906360696,608.0,712.0,288
2018-06-04,649.1397332506203,607.0,673.0,288
2018-06-05,620.1227636363636,588.0,639.0,288
2018-06-06,603.2719138610859,508.0,683.0,288
2018-06-07,641.9170623615069,602.0,694.0,288
2018-06-08,601.668495181616,518.0,638.0,288
2018-06-09,602.0140732448425,541.0,646.0,288
2018-06-10,632.2342300556586,604.0,702.0,288
2018-06-11,662.0349370836417,614.0,679.0,288
2018-06-12,653.3985536359984,645.0,673.0,288
