datetime,mean_h,min_h,max_h,homeid
2017-03-26,442.1148004764741,361.0,489.0,102
2017-03-27,437.12466506839655,373.0,514.0,102
2017-03-28,484.33122184684686,430.0,544.0,102
2017-03-29,549.6657631954351,503.0,679.0,102
2017-03-30,552.2648949849979,515.0,656.0,102
2017-03-31,531.4539156626506,440.0,582.0,102
2017-04-01,519.9546501583645,459.0,583.0,102
2017-04-02,464.9835620354488,361.0,554.0,102
2017-04-03,501.3263403263403,423.0,601.0,102
2017-04-04,467.29967855055526,370.0,542.0,102
2017-04-05,487.27825705512504,423.0,704.0,102
2017-04-06,500.4837019790454,446.0,546.0,102
2017-04-07,504.40025850926327,417.0,577.0,102
2017-04-08,471.1001067805659,393.0,511.0,102
2017-04-09,,,,102
2017-04-10,,,,102
2017-04-11,490.0,475.0,497.0,102
2017-04-12,451.91540327471193,345.0,512.0,102
2017-04-13,464.4165706051873,381.0,544.0,102
2017-04-14,506.64478417266184,444.0,573.0,102
2017-04-15,460.5103100430203,333.0,534.0,102
2017-04-16,511.7509892594686,464.0,750.0,102
2017-04-17,495.2567528318327,412.0,719.0,102
2017-04-18,439.06481198410273,371.0,484.0,102
2017-04-19,453.7121233554958,393.0,644.0,102
2017-04-20,488.21047345767573,445.0,513.0,102
2017-04-21,478.3708267660123,375.0,518.0,102
2017-04-22,397.74573329476425,285.0,506.0,102
2017-04-23,392.1981941977501,325.0,444.0,102
2017-04-24,395.60958282950423,300.0,518.0,102
