datetime,mean_h,min_h,max_h,homeid
2017-08-29,652.7993223872817,642.0,755.0,182
2017-08-30,644.4213308457712,637.0,656.0,182
2017-08-31,641.2384084710412,613.0,657.0,182
2017-09-01,648.1886593274016,629.0,668.0,182
2017-09-02,639.020360333968,633.0,650.0,182
2017-09-03,640.7511472982976,628.0,662.0,182
2017-09-04,678.2348679245283,642.0,728.0,182
2017-09-05,667.9728539985326,635.0,684.0,182
2017-09-06,646.5258519388955,640.0,659.0,182
2017-09-07,662.1152170647439,647.0,692.0,182
2017-09-08,662.0233288470166,654.0,677.0,182
2017-09-09,666.3681172291297,660.0,680.0,182
2017-09-10,658.2142129022862,650.0,669.0,182
2017-09-11,653.3643922018349,638.0,692.0,182
2017-09-12,622.8005813953488,591.0,645.0,182
2017-09-13,624.6028542597664,600.0,645.0,182
2017-09-14,613.9815498154982,569.0,670.0,182
2017-09-15,602.0566509711595,576.0,626.0,182
2017-09-16,604.7382882882883,587.0,628.0,182
2017-09-17,634.7464039125432,618.0,669.0,182
2017-09-18,640.0530010027217,634.0,650.0,182
2017-09-19,622.4020752269779,570.0,665.0,182
2017-09-20,645.2924120023081,599.0,686.0,182
2017-09-21,652.7274200677766,594.0,677.0,182
2017-09-22,621.644287566633,593.0,649.0,182
2017-09-23,639.425003588345,617.0,660.0,182
2017-09-24,656.1749558563861,646.0,667.0,182
2017-09-25,661.4901146131805,634.0,684.0,182
2017-09-26,654.4636009802508,605.0,677.0,182
2017-09-27,645.1227672242699,605.0,675.0,182
2017-09-28,651.4386238142432,632.0,671.0,182
2017-09-29,620.2042980347801,563.0,651.0,182
2017-09-30,588.0083573487032,567.0,608.0,182
2017-10-01,592.0062132112491,565.0,636.0,182
2017-10-02,583.0140060480662,538.0,626.0,182
2017-10-03,570.1336056009335,560.0,586.0,182
2017-10-04,581.3202154720934,539.0,626.0,182
2017-10-05,550.5120499851234,516.0,575.0,182
2017-10-06,549.6310864393339,534.0,577.0,182
2017-10-07,585.6762944698837,555.0,599.0,182
2017-10-08,602.5077954474586,589.0,621.0,182
2017-10-09,609.1376524892845,586.0,643.0,182
2017-10-10,583.853936858121,560.0,610.0,182
2017-10-11,596.0047961630695,573.0,642.0,182
2017-10-12,576.2014008004573,556.0,592.0,182
2017-10-13,621.7642169728784,585.0,686.0,182
2017-10-14,607.0088794175102,565.0,617.0,182
2017-10-15,616.9671283471838,588.0,655.0,182
2017-10-16,609.3052785923753,568.0,649.0,182
2017-10-17,585.5379892555641,568.0,610.0,182
2017-10-18,591.9189068100359,563.0,620.0,182
2017-10-19,601.4981823469536,583.0,629.0,182
2017-10-20,622.2656763096169,602.0,651.0,182
2017-10-21,616.7022313010685,578.0,648.0,182
2017-10-22,597.7763713080169,560.0,613.0,182
2017-10-23,585.6730158730159,573.0,625.0,182
2017-10-24,610.0919117647059,592.0,622.0,182
2017-10-25,600.6663669064748,585.0,606.0,182
2017-10-26,591.9776247848537,559.0,619.0,182
2017-10-27,563.4153483675531,529.0,579.0,182
2017-10-28,578.1630769230769,543.0,621.0,182
2017-10-29,557.5097229392532,533.0,574.0,182
2017-10-30,524.3291995490417,494.0,550.0,182
2017-10-31,562.8567125645438,517.0,600.0,182
2017-11-01,582.2658246225319,566.0,602.0,182
2017-11-02,565.9816350710901,538.0,582.0,182
2017-11-03,541.5421287627827,512.0,556.0,182
2017-11-04,545.4752126723379,528.0,559.0,182
2017-11-05,515.8478448275862,469.0,536.0,182
2017-11-06,519.275713050994,498.0,550.0,182
2017-11-07,544.8539325842696,502.0,564.0,182
2017-11-08,521.8410468726896,497.0,539.0,182
2017-11-09,528.2991097922849,476.0,567.0,182
2017-11-10,501.0892214707152,476.0,518.0,182
