datetime,mean_h,min_h,max_h,homeid
2018-03-23,491.20453493752893,484.0,513.0,321
2018-03-24,495.54448796866257,444.0,677.0,321
2018-03-25,491.8529534981148,434.0,523.0,321
2018-03-26,494.4648497554158,450.0,533.0,321
2018-03-27,503.34126743480897,455.0,543.0,321
2018-03-28,527.3430317137038,473.0,601.0,321
2018-03-29,475.64244372990356,421.0,512.0,321
2018-03-30,475.26784462207263,430.0,542.0,321
2018-03-31,474.0463460700276,433.0,663.0,321
2018-04-01,479.54671328671327,439.0,524.0,321
2018-04-02,484.16712807809995,444.0,513.0,321
2018-04-03,499.9804058782365,458.0,529.0,321
2018-04-04,511.24702422629883,475.0,624.0,321
2018-04-05,505.07610520425294,463.0,542.0,321
2018-04-06,507.8197340797761,449.0,713.0,321
2018-04-07,518.452056778679,475.0,570.0,321
2018-04-08,550.8742464601149,530.0,582.0,321
2018-04-09,542.6952970994087,510.0,583.0,321
2018-04-10,520.073188405797,474.0,575.0,321
2018-04-11,517.4009654768871,481.0,580.0,321
2018-04-12,522.192700729927,489.0,560.0,321
2018-04-13,526.6909962706446,499.0,558.0,321
2018-04-14,545.0982845894263,518.0,584.0,321
2018-04-15,561.0932919954904,520.0,675.0,321
2018-04-16,559.8974394850986,488.0,603.0,321
2018-04-17,529.7295973884658,504.0,614.0,321
2018-04-18,571.010185572764,522.0,611.0,321
2018-04-19,570.0989379541643,538.0,600.0,321
2018-04-20,515.1296451522771,433.0,564.0,321
2018-04-21,479.86593191964283,430.0,578.0,321
2018-04-22,493.1944792973651,414.0,543.0,321
2018-04-23,523.4231576003356,477.0,635.0,321
2018-04-24,513.4644922507518,479.0,538.0,321
2018-04-25,518.4562971237085,491.0,586.0,321
2018-04-26,506.37080373311045,458.0,588.0,321
2018-04-27,472.8376414698896,396.0,517.0,321
2018-04-28,469.3799888361708,417.0,647.0,321
2018-04-29,462.5391486392184,421.0,503.0,321
2018-04-30,432.092751583392,409.0,482.0,321
2018-05-01,453.9361791462561,403.0,583.0,321
2018-05-02,466.33459436738127,382.0,556.0,321
2018-05-03,490.85353068146776,449.0,552.0,321
2018-05-04,542.9280651485448,496.0,590.0,321
2018-05-05,566.318119993955,546.0,595.0,321
2018-05-06,538.7433999161894,467.0,576.0,321
2018-05-07,494.20111731843576,378.0,576.0,321
2018-05-08,508.91426831125324,460.0,584.0,321
2018-05-09,504.0340972610397,487.0,552.0,321
2018-05-10,,,,321
2018-05-11,438.7465596330275,420.0,475.0,321
2018-05-12,445.0691051235516,377.0,503.0,321
2018-05-13,463.65856044723967,399.0,583.0,321
2018-05-14,456.48589779391233,423.0,496.0,321
2018-05-15,540.7273275688719,474.0,603.0,321
2018-05-16,443.00620272314677,404.0,532.0,321
2018-05-17,423.470629740695,407.0,433.0,321
2018-05-18,436.9882615986585,422.0,452.0,321
2018-05-19,451.2841272256886,421.0,471.0,321
2018-05-20,451.06059232396495,422.0,524.0,321
2018-05-21,474.4029873494894,444.0,531.0,321
2018-05-22,485.0071558860671,458.0,670.0,321
2018-05-23,504.894255675758,485.0,602.0,321
2018-05-24,512.4751674107143,493.0,528.0,321
2018-05-25,516.0286289074589,488.0,529.0,321
2018-05-26,537.2287070650656,519.0,556.0,321
2018-05-27,561.3985765124555,535.0,583.0,321
2018-05-28,616.8661922701269,578.0,699.0,321
2018-05-29,596.1581609195403,579.0,706.0,321
2018-05-30,615.7238421955403,585.0,673.0,321
2018-05-31,660.1811561219845,619.0,705.0,321
2018-06-01,684.2376948945276,639.0,789.0,321
2018-06-02,701.9643450672307,655.0,764.0,321
2018-06-03,688.8793224135517,653.0,728.0,321
2018-06-04,626.7840782122905,571.0,654.0,321
2018-06-05,541.2111592784225,492.0,669.0,321
2018-06-06,525.2158694742714,496.0,554.0,321
2018-06-07,535.0874017957351,478.0,599.0,321
2018-06-08,537.0165823496346,522.0,560.0,321
2018-06-09,568.4815487838971,530.0,632.0,321
2018-06-10,599.9203465623253,550.0,669.0,321
2018-06-11,584.0446927374302,535.0,630.0,321
2018-06-12,588.3766052484646,545.0,751.0,321
2018-06-13,561.1648705388384,511.0,688.0,321
2018-06-14,588.5709163917969,484.0,664.0,321
2018-06-15,554.4731468531469,509.0,584.0,321
2018-06-16,563.1482879105521,543.0,587.0,321
2018-06-17,572.6934081346424,557.0,594.0,321
2018-06-18,,,,321
2018-06-19,527.9743139407245,467.0,638.0,321
2018-06-20,565.4199049482806,497.0,629.0,321
2018-06-21,484.4447390454926,441.0,601.0,321
2018-06-22,503.8409503843466,441.0,606.0,321
2018-06-23,536.1361037512202,512.0,623.0,321
2018-06-24,488.33668201479003,397.0,568.0,321
2018-06-25,448.58180802012015,358.0,538.0,321
2018-06-26,547.0078114102386,485.0,593.0,321
2018-06-27,564.260067114094,539.0,604.0,321
2018-06-28,545.8741444335801,471.0,652.0,321
2018-06-29,561.1985776042393,499.0,664.0,321
2018-06-30,576.1073872364195,537.0,721.0,321
